game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,completion_pct,def_solo,def_tot,goals,goals_minus_xg,goals_plus_assists,interceptions,key_passes,minutes_played,pass_attempts,pass_completion_pct,pass_completions,pass_long,pass_yards_per_attempt,passes_attempted,passes_over_expected,passes_over_expected_p100,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,points_added,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_avg,rush_lg,rush_long,rush_yds,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,score_conv,score_p,score_pts,score_tot,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
FOOTBALL_CFL_2021_10_16_CGY@BC,2021-10-16,2021,1,CFL,CGY,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,3.0,,17.0,17.0,24.0,6.0,74.0,1.0,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_23_SSK@CGY,2021-10-23,2021,1,CFL,SSK,CGY,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,17.0,4.0,5.0,,20.0,48.0,8.0,2.0,8.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_2_SSK@CGY,2021-10-02,2021,1,CFL,SSK,CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,2.0,3.0,1.0,26.0,26.0,26.0,5.0,62.0,1.0,,7.0,,7.0,,,,,,,1.0,6.0,1.0,,,,,,,,
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,29.0,1.0,29.0,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_12_CGY@BC,2021-11-12,2021,1,CFL,CGY,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,18.0,18.0,35.0,5.0,148.0,,,,,,,,,,,,1.0,6.0,1.0,,,,,,,,
FOOTBALL_CFL_2021_8_12_BC@CGY,2021-08-12,2021,1,CFL,BC,CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,27.0,3.0,81.0,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_20_MTL@CGY,2021-08-20,2021,1,CFL,MTL,CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,35.0,5.0,133.0,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_29_CGY@WPG,2021-08-29,2021,1,CFL,CGY,WPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,3.0,,2.0,15.0,22.0,4.0,72.0,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_6_EDM@CGY,2021-09-06,2021,1,CFL,EDM,CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,3.0,50.0,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_1_TOR@CGY,2022-10-01,2022,1,CFL,TOR,CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,4.0,5.0,,20.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_11_6_CGY@BC,2022-11-06,2022,1,CFL,CGY,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,7.0,10.0,,47.0,119.0,8.0,1.0,8.0,3.0,,7.0,,12.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_18_CGY@HAM,2022-06-18,2022,1,CFL,CGY,HAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2.0,6.0,,3.0,29.0,,,,1.0,,-1.0,,-1.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_25_EDM@CGY,2022-06-25,2022,1,CFL,EDM,CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,6.0,8.0,1.0,36.0,173.0,,,,,,,,,,,,,,,1.0,6.0,1.0,,,,,,,,
FOOTBALL_CFL_2022_6_9_MTL@CGY,2022-06-09,2022,1,CFL,MTL,CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,1.0,36.0,36.0,21.0,4.0,48.0,,,,,,,,,,,,1.0,6.0,1.0,,,,,,,,
FOOTBALL_CFL_2022_7_15_CGY@WPG,2022-07-15,2022,1,CFL,CGY,WPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,4.0,8.0,,25.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_30_WPG@CGY,2022-07-30,2022,1,CFL,WPG,CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,4.0,6.0,,10.0,55.0,,,,1.0,,9.0,,9.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_7_CGY@EDM,2022-07-07,2022,1,CFL,CGY,EDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,1.0,96.0,150.0,15.0,1.0,15.0,,,,,,,,,,,,1.0,6.0,1.0,,,,,,,,
FOOTBALL_CFL_2022_8_25_CGY@WPG,2022-08-25,2022,1,CFL,CGY,WPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,3.0,33.0,122.0,,,,,,,,,,,,,,,3.0,18.0,3.0,,,,,,,,
FOOTBALL_CFL_2022_8_5_CGY@OTT,2022-08-05,2022,1,CFL,CGY,OTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,1.0,3.0,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_9_10_CGY@EDM,2022-09-10,2022,1,CFL,CGY,EDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,1.0,24.0,98.0,,,,,,,,,,,,,,,1.0,6.0,1.0,,,,,,,,
FOOTBALL_CFL_2022_9_17_BC@CGY,2022-09-17,2022,1,CFL,BC,CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,1.0,45.0,107.0,,,,,,,,,,,,,,,1.0,6.0,1.0,,,,,,,,
FOOTBALL_CFL_2022_9_24_CGY@BC,2022-09-24,2022,1,CFL,CGY,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,9.0,10.0,,59.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_9_5_EDM@CGY,2022-09-05,2022,1,CFL,EDM,CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,4.0,9.0,,35.0,67.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,
SYNTHETIC_CFL_2022_W1_CGY,,2022,1,CFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,36.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_CGY,,2022,3,CFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,173.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W5_CGY,,2022,5,CFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,150.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6231,2022-07-15,2022,6,CFL,CGY,WPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,53.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6240,2022-07-30,2022,8,CFL,WPG,CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,55.0,4.0,,,,,,,,,,,,,,,,,,0.0,9.0,,,,,,,,,,,,
6243,2022-08-05,2022,9,CFL,CGY,OTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6254,2022-08-25,2022,12,CFL,CGY,WPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,122.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6268,2022-09-17,2022,15,CFL,BC,CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,107.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6271,2022-09-24,2022,16,CFL,CGY,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,88.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6275,2022-10-01,2022,17,CFL,TOR,CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9889283,2023-06-08,2023,1,CFL,BC,CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,28.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9889287,2023-06-15,2023,2,CFL,CGY,OTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,108.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9889293,2023-06-24,2023,3,CFL,SSK,CGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,92.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer-mls-2025-kRQabn8MKZ,,2025,1,MLS,,,1.0,0.5549,20.7046,-0.5822,,,,0.0,-0.6955,1.0,,2.0,182.0,,0.641,,,,39.0,-2.7085,-6.9449,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.4451,0.6955,-0.6955,1.1405,0.7105,0.5395
soccer-mlsnp-2025-4JMAkpDqKg,,2025,1,MLSNP,,,5.0,-0.0368,16.5803,-0.2396,,,,0.0,-2.3563,5.0,,21.0,1165.0,,0.7482,,,,421.0,0.6784,0.1611,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,6.0,5.0368,2.3563,-1.2188,7.3931,0.7466,1.537
FOOTBALL_AF1_2026_4_12_T606163G1168202@T584747,2026-04-12,2026,1,AF1,Michigan Arsenal,Kentucky Barrels,,,,,479.0,,,,,,0.0,,,48.0,,23.0,0.0,11.0,,,,0.0,84.0,0.0,3.0,244.0,0.0,,,,,,,,,,,,,,,2.0,,2.0,,0.0,1.0,0.0,1.0,2.0,,,,,,,,,,,,
soccer-mls-2026-kRQabn8MKZ,,2026,1,MLS,,,0.0,-0.1495,16.8231,-1.4437,,,,0.0,-0.2331,0.0,,1.0,399.0,,0.6355,,,,107.0,-5.823,-5.442,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0.1495,0.2331,0.2337,0.3826,0.6899,0.2833
FOOTBALL_AF1_2026_4_17_T606163G1168206@T584637,2026-04-18,2026,2,AF1,Michigan Arsenal,Nashville Kats,,,,,583.0,,,,,,3.0,,,48.0,,28.0,38.0,10.0,,,,0.0,77.0,2.0,4.0,285.0,0.0,,,,,,,,,,,,,,,0.0,,8.0,,0.0,4.0,0.0,1.0,0.0,,,,,,,,,,,,
FOOTBALL_AF1_2026_4_25_T602555G1168209@T606163,2026-04-25,2026,3,AF1,Minnesota Monsters,Michigan Arsenal,,,,,361.0,,,,,,1.0,,,36.0,,13.0,32.0,12.0,,,,0.0,76.0,5.0,4.0,155.0,0.0,,,,,,,,,,,,,,,-5.0,,0.0,,0.0,1.0,0.0,0.0,-5.0,,,,,,,,,,,,
FOOTBALL_AF1_2026_5_2_T584638G1168213@T606163,2026-05-02,2026,4,AF1,Oregon Lightning,Michigan Arsenal,,,,,391.0,,,,,,0.0,,,23.0,,9.0,47.0,22.0,,,,0.0,111.0,0.0,4.0,201.0,0.0,,,,,,,,,,,,,,,6.0,,6.0,,0.0,1.0,0.0,1.0,6.0,,,,,,,,,,,,
