game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rushing_tds,rushing_yards,sacks,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2022_10_7_SSK@HAM,2022-10-07,2022,1,CFL,SSK,HAM,,,,,,,,,1.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_24_TOR@SSK,2022-07-24,2022,1,CFL,TOR,SSK,2.0,2.0,,,,,22.0,5.0,6.0,1.0,3.0,67.0,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_7_29_BC@SSK,2022-07-29,2022,1,CFL,BC,SSK,,,,,,,,2.0,3.0,1.0,,9.0,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,,,,,,,40.0,3.0,3.0,,42.0,56.0,,,,,,,,,,
FOOTBALL_CFL_2022_8_13_SSK@EDM,2022-08-13,2022,1,CFL,SSK,EDM,,,,,,,,,2.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_8_19_BC@SSK,2022-08-19,2022,1,CFL,BC,SSK,,,,,,,12.0,4.0,7.0,,12.0,28.0,,,,,,,,,,
FOOTBALL_CFL_2022_8_26_SSK@BC,2022-08-26,2022,1,CFL,SSK,BC,,,,,,,,3.0,3.0,1.0,11.0,50.0,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_9_16_EDM@SSK,2022-09-16,2022,1,CFL,EDM,SSK,,,,,,,31.0,2.0,2.0,,31.0,39.0,,,,,,,,,,
FOOTBALL_CFL_2022_9_30_SSK@WPG,2022-09-30,2022,1,CFL,SSK,WPG,1.0,1.0,,,,,16.0,1.0,2.0,,8.0,16.0,19.0,3.0,49.0,,,,,,,
SYNTHETIC_CFL_2022_W4_SSK,,2022,4,CFL,,,,,,0.0,56.0,3.0,,,,,,,,,,,,,,,,
6237,2022-07-24,2022,7,CFL,TOR,SSK,,,,1.0,67.0,5.0,,,,,,,,,,,,,,,,
6239,2022-07-29,2022,8,CFL,BC,SSK,,,,1.0,9.0,2.0,,,,,,,,,,,,,,,,
6249,2022-08-13,2022,10,CFL,SSK,EDM,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
6251,2022-08-19,2022,11,CFL,BC,SSK,,,,0.0,28.0,4.0,,,,,,,,,,,,,,,,
6266,2022-09-16,2022,15,CFL,EDM,SSK,,,,0.0,39.0,2.0,,,,,,,,,,,,,,,,
6272,2022-09-30,2022,17,CFL,SSK,WPG,,,,0.0,16.0,1.0,,,,,,,,,,,,,,,,
6276,2022-10-07,2022,18,CFL,SSK,HAM,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
9889288,2023-06-16,2023,2,CFL,WPG,SSK,,,,0.0,121.0,9.0,,,,,,,,,,,,,,,,
9889293,2023-06-24,2023,3,CFL,SSK,CGY,,,,1.0,75.0,5.0,,,,,,,,,,,,,,,,
