game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_2022_W1_MECHANIX,,2022,1,AUDL,,,0.0,2.0,,,0.0,1.0,,,0.0,20.0,13.0
SYNTHETIC_AUDL_2022_W2_MECHANIX,,2022,2,AUDL,,,0.0,0.0,,,0.0,0.0,,,0.0,10.0,-18.0
SYNTHETIC_AUDL_2022_W3_MECHANIX,,2022,3,AUDL,,,0.0,0.0,,,0.0,0.0,,,0.0,37.0,-12.0
2022-06-18-DET-PIT,2022-06-18,2022,4,,DET,PIT,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-02-MIN-DET,2022-07-02,2022,6,,MIN,DET,0.0,3.0,,,0.0,0.0,,,1.0,5.0,17.0
2022-07-09-DET-PIT,2022-07-09,2022,7,AUDL,mechanix,thunderbirds,0.0,1.0,,,0.0,0.0,,,0.0,49.0,-11.0
2022-07-16-MAD-DET,2022-07-16,2022,8,AUDL,radicals,mechanix,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-30-DET-CHI,2022-07-30,2022,10,AUDL,mechanix,union,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-31-DET-MIN,2022-07-31,2022,10,AUDL,mechanix,windchill,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2023-05-27-MIN-DET,2023-05-27,2023,5,AUDL,MINNESOTA WIND CHILL,DETROIT MECHANIX,,1.0,,1.0,,,,1.0,,,
2023-06-03-IND-DET,2023-06-03,2023,6,AUDL,INDIANAPOLIS ALLEYCATS,DETROIT MECHANIX,,1.0,2.0,1.0,,1.0,,1.0,,17.0,-1.0
2023-06-11-DET-PIT,2023-06-11,2023,7,AUDL,DETROIT MECHANIX,PITTSBURGH THUNDERBIRDS,,,3.0,2.0,1.0,1.0,,2.0,,84.0,-12.0
2023-06-17-DET-IND,2023-06-17,2023,8,AUDL,DETROIT MECHANIX,INDIANAPOLIS ALLEYCATS,,1.0,5.0,4.0,,1.0,,4.0,,51.0,-19.0
2023-06-23-DET-CHI,2023-06-23,2023,9,AUDL,DETROIT MECHANIX,CHICAGO UNION,,,1.0,1.0,,,1.0,1.0,,44.0,4.0
2023-06-24-CHI-DET,2023-06-24,2023,9,AUDL,CHICAGO UNION,DETROIT MECHANIX,,1.0,,,,,,,,,
2023-07-08-MAD-DET,2023-07-08,2023,11,AUDL,MADISON RADICALS,DETROIT MECHANIX,,,2.0,,,1.0,,1.0,0.0,57.0,
