game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sog,to
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,30.0,,,18.0,11.0,,10.0,,41.0,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,31.0,,,18.0,32.0,,27.0,,63.0,5.0,8.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,39.0,,,18.0,26.0,,18.0,,65.0,4.0,5.0,,
703347730,2025-12-06,2025,1,NLL,CALGARY,SASKATCHEWAN,3.0,3.0,3.0,,2.0,3.0,,3.0,,,,3.0,3.0
