game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W1_BHAM,,2022,1,USFL,,,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_2022_W2_BHAM,,2022,2,USFL,,,,,1.0,88.0,3.0,,
SYNTHETIC_USFL_2022_W3_BHAM,,2022,3,USFL,,,,,1.0,47.0,1.0,,
SYNTHETIC_USFL_2022_W4_BHAM,,2022,4,USFL,,,,,0.0,14.0,2.0,,
SYNTHETIC_USFL_2022_W5_BHAM,,2022,5,USFL,,,,,1.0,74.0,5.0,,
SYNTHETIC_USFL_2022_W6_BHAM,,2022,6,USFL,,,,,0.0,39.0,3.0,,
SYNTHETIC_USFL_2022_W8_BHAM,,2022,8,USFL,,,,,0.0,109.0,7.0,,
SYNTHETIC_USFL_2022_W9_BHAM,,2022,9,USFL,,,,,0.0,65.0,7.0,,
SYNTHETIC_USFL_2022_W10_BHAM,,2022,10,USFL,,,,,1.0,30.0,3.0,,
SYNTHETIC_USFL_2022_W11_BHAM,,2022,11,USFL,,,,,0.0,24.0,4.0,,
SYNTHETIC_USFL_2023_W1_STALLIONS,2023-04-15,2023,1,USFL,STALLIONS,GENERALS,,,0.0,23.0,3.0,0.0,5.0
SYNTHETIC_UFL_2024_W1_STALLIONS,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,,,0.0,30.0,2.0,,
SYNTHETIC_UFL_2024_W2_STALLIONS,2024-04-07,2024,2,UFL,PANTHERS,STALLIONS,,,0.0,32.0,3.0,,
SYNTHETIC_UFL_2024_W3_STALLIONS,2024-04-13,2024,3,UFL,STALLIONS,SHOWBOATS,,,1.0,41.0,1.0,,
SYNTHETIC_UFL_2024_W5_STALLIONS,2024-04-27,2024,5,UFL,ROUGHNECKS,STALLIONS,,,0.0,22.0,2.0,,
SYNTHETIC_UFL_2024_W6_STALLIONS,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,,2.0,58.0,4.0,0.0,13.0
SYNTHETIC_UFL_2024_W7_STALLIONS,2024-05-11,2024,7,UFL,STALLIONS,BATTLEHAWKS,,1.0,1.0,41.0,4.0,0.0,5.0
SYNTHETIC_UFL_2024_W8_STALLIONS,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,,,0.0,27.0,3.0,,
SYNTHETIC_UFL_2024_W9_STALLIONS,2024-05-25,2024,9,UFL,BRAHMAS,STALLIONS,,,0.0,42.0,5.0,0.0,6.0
SYNTHETIC_UFL_2024_W10_STALLIONS,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,,,0.0,20.0,2.0,,
SYNTHETIC_UFL_2024_W11_STALLIONS,2024-06-08,2024,11,UFL,STALLIONS,PANTHERS,,,0.0,50.0,3.0,,
SYNTHETIC_UFL_2024_W12_STALLIONS,2024-06-16,2024,12,UFL,BRAHMAS,STALLIONS,,,0.0,36.0,4.0,,
SYNTHETIC_UFL_2025_W1_STALLIONS,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,,1.0,,,,,
SYNTHETIC_UFL_2025_W2_STALLIONS,2025-04-04,2025,2,UFL,PANTHERS,STALLIONS,,,0.0,32.0,3.0,,
SYNTHETIC_UFL_2025_W3_STALLIONS,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,,0.0,41.0,4.0,,
SYNTHETIC_UFL_2025_W5_STALLIONS,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,,1.0,6.0,1.0,,
SYNTHETIC_UFL_2025_W6_STALLIONS,2025-05-04,2025,6,UFL,STALLIONS,BRAHMAS,,,0.0,37.0,3.0,,
SYNTHETIC_UFL_2025_W7_STALLIONS,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,,0.0,45.0,1.0,,
SYNTHETIC_UFL_2025_W8_STALLIONS,2025-05-17,2025,8,UFL,BATTLEHAWKS,STALLIONS,,,0.0,24.0,2.0,,
SYNTHETIC_UFL_2025_W9_STALLIONS,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,,0.0,10.0,1.0,,
SYNTHETIC_UFL_2025_W10_STALLIONS,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,1.0,,0.0,33.0,2.0,0.0,12.0
