game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,fumbles,fumbles_lost,interceptions,kicking_points,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_tds,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,recv_td,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,solo_tackles,tackles,xp_attempts,xp_made
FOOTBALL_UFL_2024_6_8_MICH@BHAM,2024-06-08,2024,1,UFL,MICH,BHAM,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_UFL_2024_5_5_ARL@MICH,2024-05-05,2024,6,UFL,ARL,MICH,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_UFL_2024_6_1_MICH@BHAM,2024-06-01,2024,10,UFL,MICH,BHAM,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_NAL_2025_3_8_T425360G979249@T450150,2025-03-09,2025,1,NAL,Omaha Beef,Shreveport Rouxgaroux,,500.0,,,0.0,,4.0,2.0,2.0,12.0,9.0,63.0,0.0,0.0,0.0,,18.0,0.0,,,,,,,2.0,5.0,4.0,0.0,0.0,7.0,,,,
FOOTBALL_UFL_2025_6_15_DC@MICH,2025-06-15,2025,2,UFL,DC,MICH,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_NAL_2025_3_29_T425358G979260@T425360,2025-03-29,2025,4,NAL,Idaho Horsemen,Omaha Beef,,500.0,,,0.0,,4.0,2.0,2.0,10.0,8.0,59.0,0.0,0.0,0.0,,15.0,0.0,,,,,,,-3.0,3.0,3.0,2.0,0.0,-8.0,,,,
FOOTBALL_UFL_2025_5_24_MICH@BHM,2025-05-24,2025,9,UFL,MICH,BHM,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
FOOTBALL_IFL_2026_3_14_TQUADCITYSTEAMWHEELERSG20260314RYY1@TFISHERSFREIGHT,2026-03-14,2026,1,IFL,Quad City Steamwheelers,Fishers Freight,,,,,1.0,,18.0,13.0,,16.0,,,,,,2.0,101.0,,,,,,,,3.7,16.0,18.0,,1.0,67.0,,,,
FOOTBALL_IFL_2026_3_21_TFISHERSFREIGHTG20260321YQ5B@TGREENBAYBLIZZARD,2026-03-21,2026,2,IFL,Fishers Freight,Green Bay Blizzard,0.0,,1.0,1.0,2.0,0.0,22.0,15.0,,19.0,,,,,,3.0,153.0,,5.0,5.0,0.0,5.0,1.0,,5.4,21.0,9.0,,1.0,49.0,1.0,1.0,0.0,0.0
FOOTBALL_IFL_2026_4_5_TARIZONARATTLERSG20260405GSAF@TFISHERSFREIGHT,2026-04-05,2026,4,IFL,Arizona Rattlers,Fishers Freight,,,,,0.0,,8.0,6.0,,29.0,,,,,,3.0,66.0,,,,,,,,5.2,17.0,9.0,,0.0,47.0,,,,
FOOTBALL_IFL_2026_4_11_TIOWABARNSTORMERSG20260411Y06T@TFISHERSFREIGHT,2026-04-11,2026,5,IFL,Iowa Barnstormers,Fishers Freight,,,,,0.0,,6.0,6.0,,31.0,,,,,,1.0,62.0,,,,,,,,5.1,16.0,7.0,,1.0,36.0,,,,
FOOTBALL_IFL_2026_4_18_TFISHERSFREIGHTG202604185HGP@TTULSAOILERS,2026-04-18,2026,6,IFL,Fishers Freight,Tulsa Oilers,,,,,1.0,,7.0,5.0,,40.0,,,,,,1.0,85.0,,,,,,,,3.8,19.0,22.0,,2.0,83.0,,,,
FOOTBALL_IFL_2026_4_25_TFISHERSFREIGHTG202604259U64@TIOWABARNSTORMERS,2026-04-25,2026,7,IFL,Fishers Freight,Iowa Barnstormers,,,,,1.0,,10.0,8.0,,21.0,,,,,,4.0,83.0,,,,,,,,4.7,19.0,7.0,,1.0,33.0,,,,
FOOTBALL_IFL_2026_5_2_TGREENBAYBLIZZARDG20260502XIPT@TFISHERSFREIGHT,2026-05-02,2026,8,IFL,Green Bay Blizzard,Fishers Freight,,,1.0,1.0,0.0,,15.0,10.0,,18.0,,,,,,2.0,95.0,,,,,,,,3.3,20.0,12.0,,2.0,40.0,,,,
FOOTBALL_IFL_2026_5_9_TFISHERSFREIGHTG202605096WJ9@TORLANDOPIRATES,2026-05-09,2026,9,IFL,Fishers Freight,Orlando Pirates,,,,,0.0,,15.0,10.0,,12.0,,,,,,0.0,93.0,,,,,,,,4.0,15.0,10.0,,1.0,40.0,,,,
FOOTBALL_IFL_2026_5_16_TJACKSONVILLESHARKSG20260516ZV31@TFISHERSFREIGHT,2026-05-16,2026,10,IFL,Jacksonville Sharks,Fishers Freight,,,,,1.0,,22.0,14.0,,16.0,,,,,,2.0,118.0,,,,,,,,0.1,13.0,8.0,,1.0,1.0,,,,
