game_id,date,season,week,league,away,home,extra_point,made_19,made_29,made_39,made_49,made_50,missed,recv_tar,ret_fc,ret_lg,ret_net,ret_num,ret_ret,ret_ryds,ret_tb,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2022_4_17_PHI@NO,2022-04-17,2022,1,CFL,PHI,NO,,,,,,,,,1.0,55.0,30.5,2.0,1.0,4.0,,65.0,5.0,3.0,1.0,38.0,5.0,2.0,2.0
FOOTBALL_CFL_2022_4_23_PIT@PHI,2022-04-23,2022,1,CFL,PIT,PHI,,,,,,,,,2.0,53.0,30.8,5.0,2.0,1.0,1.0,175.0,3.0,,,,3.0,3.0,3.0
FOOTBALL_CFL_2022_5_1_NJ@PHI,2022-05-01,2022,1,CFL,NJ,PHI,,,,,,,,,2.0,55.0,37.7,3.0,,,1.0,133.0,4.0,3.0,1.0,22.0,4.0,2.0,1.0
FOOTBALL_CFL_2022_5_6_PHI@MICH,2022-05-06,2022,1,CFL,PHI,MICH,,,,,,,,,,41.0,41.0,1.0,1.0,,,41.0,14.0,5.0,4.0,44.0,14.0,2.0,2.0
FOOTBALL_CFL_2022_6_18_SSK@EDM,2022-06-18,2022,1,CFL,SSK,EDM,,,,,,,,1.0,,61.0,,3.0,2.0,24.0,,155.0,,,,,,,
FOOTBALL_CFL_2022_6_25_EDM@CGY,2022-06-25,2022,1,CFL,EDM,CGY,,,,,,,,,,67.0,,1.0,1.0,14.0,,67.0,1.0,,,,,,
FOOTBALL_CFL_2022_7_14_EDM@MTL,2022-07-14,2022,1,CFL,EDM,MTL,,,,,,,,,,70.0,,4.0,4.0,58.0,,270.0,,,,,,,
FOOTBALL_CFL_2022_7_1_EDM@HAM,2022-07-01,2022,1,CFL,EDM,HAM,,,,,,,,,,60.0,,5.0,3.0,25.0,,266.0,,,,,,,
FOOTBALL_CFL_2022_7_22_WPG@EDM,2022-07-22,2022,1,CFL,WPG,EDM,,,,,,,,,,53.0,,1.0,1.0,3.0,,53.0,,,,,,,
FOOTBALL_CFL_2022_7_7_CGY@EDM,2022-07-07,2022,1,CFL,CGY,EDM,,,,,,,,,,53.0,,5.0,4.0,44.0,,217.0,,,,,,,
SYNTHETIC_USFL_2022_W1_PIT,,2022,1,USFL,,,2.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W2_PIT,,2022,2,USFL,,,3.0,,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W3_PIT,,2022,3,USFL,,,1.0,0.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,
SYNTHETIC_USFL_2022_W4_PIT,,2022,4,USFL,,,2.0,0.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,
