game_id,date,season,week,league,away,home,assisted_tackles,gp,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,kr_yds,pass_defended,recv_rec,recv_td,recv_tgt,recv_yds,solo_tackles,tackles
FOOTBALL_IFL_2026_8_2_T4TUCSONSUGARSKULLSG202608026JDA@T1SANDIEGOSTRIKEFORCE,2026-08-02,2026,,IFL,#4 Tucson Sugar Skulls,#1 San Diego Strike Force,1.0,,2.0,13.5,16.0,0.0,27.0,,1.0,,,,,1.0,2.0
FOOTBALL_EFA_2026_SEASON_TOTAL,,2026,1,EFA,,,,1.0,,,,,,50.0,,7.0,2.0,9.0,147.0,,
