game_id,date,season,week,league,away,home,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,pr_no
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,7.0,,,9.0,,,1.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,0.5,15.0,3.0,2.0,10.0,12.0,9.0,
