game_id,date,season,week,league,away,home,def_int,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,interceptions_made,sacks,score_ir,score_pts,score_tot,tackles
FOOTBALL_CFL_2019_10_26_HAM@MTL,2019-10-26,2019,1,CFL,HAM,MTL,,,1.0,,1.0,,,,,,,,
FOOTBALL_CFL_2019_11_2_TOR@HAM,2019-11-02,2019,1,CFL,TOR,HAM,,,6.0,,6.0,,,,,,,,
FOOTBALL_CFL_2019_9_2_TOR@HAM,2019-09-02,2019,1,CFL,TOR,HAM,,,2.0,,2.0,,,,,,,,
FOOTBALL_CFL_2021_10_29_HAM@EDM,2021-10-29,2021,1,CFL,HAM,EDM,,,1.0,,1.0,,,,,,,,
FOOTBALL_CFL_2021_11_20_SSK@HAM,2021-11-20,2021,1,CFL,SSK,HAM,,,2.0,,2.0,,,,,,,,
FOOTBALL_CFL_2021_8_14_HAM@SSK,2021-08-14,2021,1,CFL,HAM,SSK,,1.0,4.0,,4.0,,1.0,,,,,,
FOOTBALL_CFL_2022_10_10_OTT@MTL,2022-10-10,2022,1,CFL,OTT,MTL,,,5.0,,5.0,,,,,,,,
FOOTBALL_CFL_2022_10_14_MTL@OTT,2022-10-14,2022,1,CFL,MTL,OTT,,,3.0,,3.0,,,,,,,,
FOOTBALL_CFL_2022_10_1_MTL@EDM,2022-10-01,2022,1,CFL,MTL,EDM,1.0,,5.0,1.0,5.0,100.0,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_10_22_TOR@MTL,2022-10-22,2022,1,CFL,TOR,MTL,,,4.0,,4.0,,,,,,,,
FOOTBALL_CFL_2022_10_29_MTL@TOR,2022-10-29,2022,1,CFL,MTL,TOR,,,1.0,,1.0,,,,,,,,
FOOTBALL_CFL_2022_11_13_MTL@TOR,2022-11-13,2022,1,CFL,MTL,TOR,,,3.0,,3.0,,,,,,,,
FOOTBALL_CFL_2022_11_6_HAM@MTL,2022-11-06,2022,1,CFL,HAM,MTL,,2.0,3.0,,3.0,,24.0,,,,,,
FOOTBALL_CFL_2022_6_23_SSK@MTL,2022-06-23,2022,1,CFL,SSK,MTL,,,1.0,,1.0,,,,,,,,
FOOTBALL_CFL_2022_7_14_EDM@MTL,2022-07-14,2022,1,CFL,EDM,MTL,,,3.0,,3.0,,,,,,,,
FOOTBALL_CFL_2022_7_21_MTL@OTT,2022-07-21,2022,1,CFL,MTL,OTT,,,2.0,,2.0,,,,,,,,
FOOTBALL_CFL_2022_7_28_MTL@HAM,2022-07-28,2022,1,CFL,MTL,HAM,,,8.0,,8.0,,,,,,,,
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,,,4.0,,4.0,,,,,,,,
FOOTBALL_CFL_2022_8_11_MTL@WPG,2022-08-11,2022,1,CFL,MTL,WPG,,,3.0,,3.0,,,,,,,,
FOOTBALL_CFL_2022_8_20_HAM@MTL,2022-08-20,2022,1,CFL,HAM,MTL,,,5.0,,5.0,,,,,,,,
FOOTBALL_CFL_2022_8_4_WPG@MTL,2022-08-04,2022,1,CFL,WPG,MTL,,,3.0,,3.0,,,,,,,,
FOOTBALL_CFL_2022_9_23_HAM@MTL,2022-09-23,2022,1,CFL,HAM,MTL,,,1.0,,1.0,,,,,,,,
FOOTBALL_CFL_2022_9_2_OTT@MTL,2022-09-02,2022,1,CFL,OTT,MTL,,,6.0,,6.0,,,,,,,,
FOOTBALL_CFL_2022_9_9_BC@MTL,2022-09-09,2022,1,CFL,BC,MTL,,,2.0,,2.0,,,,,,,,
9889285,2023-06-10,2023,1,CFL,OTT,MTL,,,,,,,,,,,,,2.0
9889319,2023-08-11,2023,10,CFL,SSK,MTL,,,,,,,,0.0,0.0,,,,8.0
9889324,2023-08-19,2023,11,CFL,MTL,OTT,,,,,,,,0.0,1.0,,,,5.0
9889326,2023-08-24,2023,12,CFL,MTL,WPG,,,,,,,,0.0,0.0,,,,5.0
9889330,2023-09-02,2023,13,CFL,BC,MTL,,,,,,,,0.0,0.0,,,,2.0
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,,,,,,,0.0,0.0,,,,4.0
9889338,2023-09-15,2023,15,CFL,TOR,MTL,,,,,,,,0.0,1.0,,,,7.0
9889344,2023-09-23,2023,16,CFL,MTL,CGY,,,,,,,,0.0,0.0,,,,5.0
9889348,2023-09-30,2023,17,CFL,MTL,OTT,,,,,,,,0.0,2.0,,,,6.0
9889353,2023-10-09,2023,18,CFL,OTT,MTL,,,,,,,,0.0,1.0,,,,4.0
9889356,2023-10-14,2023,19,CFL,MTL,EDM,,,,,,,,0.0,1.0,,,,9.0
9889362,2023-10-28,2023,21,CFL,HAM,MTL,,,,,,,,0.0,0.0,,,,4.0
10798016,2024-06-06,2024,1,CFL,MTL,WPG,,,,,,,,0.0,0.0,,,,5.0
10798092,2024-10-19,2024,20,CFL,MTL,BC,,,,,,,,1.0,,,,,
