game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,sh_goals
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,1.0,12.0,1.0,10.0,2.0,1.0
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,1.0,13.0,,14.0,1.0,
