game_id,date,season,week,league,away,home,assist_tackles,int_avg,int_long,int_tds,int_yards,interceptions_made,kick_returns,kr_long,kr_yards,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,targets
FOOTBALL_AAF_2019_2_10_SL@ARI,2019-02-10,2019,1,AAF,SL,ARI,,,,,,,,,,1.0,30.0,1.0,18.0,0.0,64.0,,,2.0
FOOTBALL_AAF_2019_2_16_ARI@MEM,2019-02-16,2019,2,AAF,ARI,MEM,,,,,,,,,,,,,12.0,0.0,57.0,,,
FOOTBALL_AAF_2019_2_23_ARI@SL,2019-02-23,2019,3,AAF,ARI,SL,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,3.0,1.0,10.0,0.0,34.0,1.0,,4.0
FOOTBALL_AAF_2019_3_3_ATL@ARI,2019-03-03,2019,4,AAF,ATL,ARI,,,,,,,,,,0.0,13.0,4.0,14.0,0.0,110.0,,,5.0
FOOTBALL_AAF_2019_3_10_SA@ARI,2019-03-10,2019,5,AAF,SA,ARI,,,,,,,,,,0.0,17.0,2.0,8.0,0.0,20.0,,,4.0
FOOTBALL_AAF_2019_3_16_ARI@ORL,2019-03-16,2019,6,AAF,ARI,ORL,,,,,,,,,,1.0,9.0,1.0,13.0,1.0,57.0,,,2.0
FOOTBALL_AAF_2019_3_24_SD@ARI,2019-03-24,2019,7,AAF,SD,ARI,,,,,,,,,,0.0,13.0,1.0,15.0,0.0,64.0,,,1.0
FOOTBALL_AAF_2019_3_31_ARI@SA,2019-03-31,2019,8,AAF,ARI,SA,,,,,,,,,,0.0,1.0,1.0,6.0,0.0,24.0,,,2.0
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,,,,,,,,,,,18.0,2.0,12.0,,31.0,,,1.0
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,,,,,,,,,,,9.0,2.0,11.0,,32.0,2.0,2.0,
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,,,,,,,1.0,21.0,21.0,,1.0,2.0,4.0,,20.0,,,
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,1.0,,,,,,,,,,12.0,3.0,15.0,,107.0,,1.0,
