game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,6.0,11.0,7.0,10.0,13.0,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,11.0,15.0,6.0,10.0,17.0,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,14.0,16.0,9.0,6.0,23.0,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,12.0,15.0,7.0,4.0,19.0,1.0
