game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pr_no,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,2.0,10.0,4.0,124.0,2.0,33.0,6.0,468.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,10.0,,,,60.0,11.0,984.0,1.0,7.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,7.0,,,,5.0,1.0,60.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,11.0,,,,25.0,4.0,363.0,1.0,8.0
