game_id,date,season,week,league,away,home,def_int,def_pd,def_tackles,gp,rush_att
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,8.0,34.0,10.0,1.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,2.0,9.0,3.0,
