game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sh_goals,sog,to
NLL_2021_SEASON_TOTAL,,,1,,,,71.0,,,16.0,37.0,,2.0,,108.0,,,,,
NLL_2022_SEASON_TOTAL,,,1,,,,80.0,,,18.0,56.0,,2.0,,136.0,21.0,8.0,1.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,73.0,,,18.0,58.0,,6.0,,131.0,17.0,8.0,1.0,,
703328545,2025-10-29,2025,1,NLL,SAN DIEGO,OTTAWA,3.0,3.0,3.0,,2.0,3.0,,3.0,,,,,3.0,3.0
