game_id,date,season,week,league,away,home,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,,,,,,,3.0,5.0,1.0,8.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,,,,,,,3.0,2.0,1.0,4.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,1.0,,,,,,3.0,3.0,1.0,5.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_30_CGY@MTL,2016-10-30,2016,1,CFL,CGY,MTL,1.0,1.0,13.0,,,13.0,3.0,2.0,,3.0,,,
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,,,,,,,2.0,1.0,,1.0,,,
FOOTBALL_CFL_2016_11_27_CGY@OTT,2016-11-27,2016,1,CFL,CGY,OTT,,,,1.0,1.0,,1.0,,1.0,1.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,,,,,3.0,2.0,,4.0,,,
FOOTBALL_CFL_2016_7_1_WPG@CGY,2016-07-01,2016,1,CFL,WPG,CGY,,,,,,,2.0,3.0,1.0,4.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_7_21_CGY@WPG,2016-07-21,2016,1,CFL,CGY,WPG,,,,,,,1.0,1.0,,1.0,,,
FOOTBALL_CFL_2016_7_8_CGY@OTT,2016-07-08,2016,1,CFL,CGY,OTT,,,,,,,1.0,1.0,,1.0,,,
FOOTBALL_CFL_2016_8_19_CGY@BC,2016-08-19,2016,1,CFL,CGY,BC,,,,,,,1.0,,1.0,1.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_8_28_HAM@CGY,2016-08-28,2016,1,CFL,HAM,CGY,,,,,,,1.0,5.0,,5.0,,,
FOOTBALL_CFL_2016_8_4_SSK@CGY,2016-08-04,2016,1,CFL,SSK,CGY,,,,,,,2.0,,1.0,7.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_10_CGY@EDM,2016-09-10,2016,1,CFL,CGY,EDM,,,,,,,2.0,3.0,1.0,4.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,,,,,,,1.0,,1.0,1.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_24_WPG@CGY,2016-09-24,2016,1,CFL,WPG,CGY,,,,,,,1.0,1.0,,1.0,,,
