game_id,date,season,week,league,away,home,assisted_tackles,fumble_recoveries,fumble_recovery_yards,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,solo_tackles,tackles
FOOTBALL_IFL_2026_5_31_TSANDIEGOSTRIKEFORCEG20260531B8VC@TNEWMEXICOCHUPACABRAS,2026-05-31,2026,12,IFL,San Diego Strike Force,New Mexico Chupacabras,,,,,,,,,19.0,22.0,2.0,57.0,3.0,,
FOOTBALL_IFL_2026_6_7_TNEWMEXICOCHUPACABRASG20260607JMSK@TTUCSONSUGARSKULLS,2026-06-07,2026,13,IFL,New Mexico Chupacabras,Tucson Sugar Skulls,,,,,,,,,7.2,13.0,0.0,65.0,9.0,,
FOOTBALL_IFL_2026_6_13_TNEWMEXICOCHUPACABRASG20260613T2YA@TSANANTONIOGUNSLINGERS,2026-06-13,2026,14,IFL,New Mexico Chupacabras,San Antonio Gunslingers,0.0,1.0,0.0,1.0,4.0,4.0,0.0,4.0,9.3,11.0,0.0,37.0,4.0,0.0,0.0
