game_id,date,season,week,league,away,home,def_tackles,fg_att,gp,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,3.0,1.0,7.0,3.0,17.0,37.0,2.0,162.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,7.0,1.0,10.0,15.0,,54.0
