game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,3.0,,2.0,8.0,24.0,10.0,5.0,82.0,1.0,8.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,,2.0,7.0,3.0,,,1.0,19.0
