game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hucksCompleted,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-28-SEA-SLC,2023-04-28,2023,1,,SEA,SLC,,,7.0,4.0,,,,1.0,4.0,,60.0,15.0
2023-04-29-SEA-OAK,2023-04-29,2023,1,,SEA,OAK,,,,,,3.0,,,,,,
2023-05-06-SLC-SEA,2023-05-06,2023,2,,SLC,SEA,,1.0,1.0,2.0,1.0,,,,2.0,,12.0,-3.0
2023-05-13-SEA-COL,2023-05-13,2023,3,,SEA,COL,2.0,,5.0,5.0,,,1.0,,5.0,,59.0,66.0
2023-05-20-OAK-SEA,2023-05-20,2023,4,,OAK,SEA,,,6.0,5.0,,,,,6.0,1.0,15.0,23.0
2023-06-02-SEA-POR,2023-06-02,2023,6,,SEA,POR,,1.0,2.0,,,,,,2.0,2.0,15.0,
2023-06-17-SEA-SD,2023-06-17,2023,8,,SEA,SD,,2.0,1.0,3.0,1.0,1.0,,,1.0,,32.0,32.0
2023-06-18-SEA-LA,2023-06-18,2023,8,,SEA,LA,,,,,,,,,,1.0,,
2023-07-01-COL-SEA,2023-07-01,2023,10,,COL,SEA,,,9.0,6.0,,1.0,,,8.0,1.0,105.0,-5.0
2024-04-27-SD-SEA,2024-04-27,2024,1,,SD,SEA,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-05-03-SEA-OAK,2024-05-03,2024,2,,SEA,OAK,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-05-04-SEA-COL,2024-05-04,2024,2,,SEA,COL,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-05-11-OAK-SEA,2024-05-11,2024,3,,OAK,SEA,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-05-25-POR-SEA,2024-05-25,2024,5,,POR,SEA,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-06-01-SEA-SD,2024-06-01,2024,6,,SEA,SD,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-06-02-SEA-LA,2024-06-02,2024,6,,SEA,LA,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-06-07-LA-SEA,2024-06-07,2024,7,,LA,SEA,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-06-15-SEA-POR,2024-06-15,2024,8,,SEA,POR,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-06-29-COL-SEA,2024-06-29,2024,10,,COL,SEA,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-07-19-SEA-SLC,2024-07-19,2024,13,,SEA,SLC,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
2024-07-21-POR-SEA,2024-07-21,2024,13,,POR,SEA,0.0,1.0,,,0.0,0.0,,,,0.0,13.0,-4.0
