game_id,date,season,week,league,away,home,assist_tackles,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,int_avg,int_long,int_tds,int_yards,interceptions_made,solo_tackles,tackles
FOOTBALL_AAF_2019_2_9_ATL@ORL,2019-02-09,2019,1,AAF,ATL,ORL,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,
FOOTBALL_AAF_2019_2_17_ATL@SD,2019-02-17,2019,2,AAF,ATL,SD,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,
FOOTBALL_AAF_2019_3_10_MEM@ATL,2019-03-10,2019,5,AAF,MEM,ATL,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,
FOOTBALL_AAF_2019_3_17_SA@ATL,2019-03-17,2019,6,AAF,SA,ATL,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,
FOOTBALL_AAF_2019_3_23_ORL@ATL,2019-03-23,2019,7,AAF,ORL,ATL,2.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,,,,,,,,,,,,,3.0,3.0
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,,,,,,,,,,,,,2.0,2.0
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,,,,,,,,,,,,,4.0,4.0
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,1.0,,,,,,,,,,,,5.0,6.0
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,1.0,,,,,,,,,,,,2.0,3.0
FOOTBALL_CFL_2021_10_11_TOR@HAM,2021-10-11,2021,1,CFL,TOR,HAM,,,,,3.0,3.0,,,,,,,,
FOOTBALL_CFL_2021_10_23_OTT@HAM,2021-10-23,2021,1,CFL,OTT,HAM,,1.0,17.0,1.0,4.0,4.0,17.0,,,,,,,
FOOTBALL_CFL_2021_10_29_HAM@EDM,2021-10-29,2021,1,CFL,HAM,EDM,,,,,2.0,2.0,,,,,,,,
FOOTBALL_CFL_2021_10_2_MTL@HAM,2021-10-02,2021,1,CFL,MTL,HAM,,,,,2.0,2.0,,,,,,,,
FOOTBALL_CFL_2021_11_12_HAM@TOR,2021-11-12,2021,1,CFL,HAM,TOR,,,,,1.0,1.0,,,,,,,,
FOOTBALL_CFL_2021_11_28_MTL@HAM,2021-11-28,2021,1,CFL,MTL,HAM,,,,,3.0,3.0,,,,,,,,
FOOTBALL_CFL_2021_11_5_BC@HAM,2021-11-05,2021,1,CFL,BC,HAM,,1.0,10.0,,6.0,6.0,10.0,,,,,,,
FOOTBALL_CFL_2021_9_6_TOR@HAM,2021-09-06,2021,1,CFL,TOR,HAM,,,,,4.0,4.0,,,,,,,,
FOOTBALL_CFL_2022_10_15_WPG@BC,2022-10-15,2022,1,CFL,WPG,BC,,,,,1.0,1.0,,,,,,,,
FOOTBALL_CFL_2022_11_13_BC@WPG,2022-11-13,2022,1,CFL,BC,WPG,,1.0,2.0,,3.0,3.0,2.0,,,,,,,
FOOTBALL_CFL_2022_11_20_TOR@WPG,2022-11-20,2022,1,CFL,TOR,WPG,,,,,4.0,4.0,,,,,,,,
FOOTBALL_CFL_2022_7_21_HAM@BC,2022-07-21,2022,1,CFL,HAM,BC,,,,,1.0,1.0,,,,,,,,
FOOTBALL_CFL_2022_8_20_HAM@MTL,2022-08-20,2022,1,CFL,HAM,MTL,,,,,3.0,3.0,,,,,,,,
