game_id,date,season,week,league,away,home,interceptions_lost,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards
FOOTBALL_CFL_2017_10_22_HAM@MTL,2017-10-22,2017,1,CFL,HAM,MTL,,22.0,15.0,1.0,38.0,27.0,4.0,,167.0,,,,,,4.0,23.0,30.0,,
FOOTBALL_CFL_2017_10_27_MTL@SSK,2017-10-27,2017,1,CFL,MTL,SSK,,13.0,5.0,,12.0,7.0,2.0,1.0,47.0,,,,,,2.0,11.0,13.0,,
FOOTBALL_CFL_2017_11_3_MTL@HAM,2017-11-03,2017,1,CFL,MTL,HAM,,16.0,7.0,3.0,39.0,20.0,4.0,,96.0,,,,,,4.0,10.0,20.0,,
FOOTBALL_CFL_2017_9_29_MTL@CGY,2017-09-29,2017,1,CFL,MTL,CGY,,10.0,8.0,,15.0,6.0,1.0,,75.0,,,,,,2.0,15.0,22.0,,
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,,5.0,3.0,1.0,25.0,,,,34.0,,,,,,1.0,6.0,6.0,,
FOOTBALL_CFL_2018_7_21_MTL@CGY,2018-07-21,2018,1,CFL,MTL,CGY,,25.0,16.0,2.0,23.0,20.0,3.0,1.0,160.0,,,,,,4.0,8.0,18.0,,
SYNTHETIC_CFL_2022_W1_HAM,,2022,1,CFL,,,0.0,,,,,,,,,0.0,48.0,,,,,,,0.0,4.0
SYNTHETIC_CFL_2022_W4_HAM,,2022,4,CFL,,,,,,,,,,,,,,,,,,,,0.0,20.0
SYNTHETIC_CFL_2022_W6_HAM,2022-07-16,2022,6,CFL,OTT,HAM,1.0,,,,,,,,,0.0,27.0,,,,,,,1.0,33.0
SYNTHETIC_CFL_2022_W7_HAM,2022-07-21,2022,7,CFL,HAM,BC,0.0,,,,,,,,,0.0,0.0,0.0,9.0,1.0,,,,0.0,4.0
SYNTHETIC_CFL_2022_W8_HAM,2022-07-28,2022,8,CFL,MTL,HAM,0.0,,,,,,,,,0.0,44.0,,,,,,,0.0,42.0
SYNTHETIC_CFL_2022_W9_HAM,2022-08-06,2022,9,CFL,HAM,TOR,0.0,,,,,,,,,0.0,6.0,0.0,20.0,1.0,,,,0.0,2.0
SYNTHETIC_CFL_2022_W10_HAM,2022-08-12,2022,10,CFL,TOR,HAM,1.0,,,,,,,,,1.0,176.0,,,,,,,0.0,15.0
SYNTHETIC_CFL_2022_W11_HAM,2022-08-20,2022,11,CFL,HAM,MTL,0.0,,,,,,,,,2.0,303.0,0.0,8.0,1.0,,,,0.0,2.0
SYNTHETIC_CFL_2022_W20_HAM,2022-10-21,2022,20,CFL,OTT,HAM,0.0,,,,,,,,,0.0,43.0,,,,,,,0.0,25.0
SYNTHETIC_CFL_2023_W1_HAM,2023-06-09,2023,1,CFL,HAM,WPG,1.0,,,,,,,,,0.0,0.0,,,,,,,,
SYNTHETIC_CFL_2023_W2_HAM,2023-06-18,2023,2,CFL,HAM,TOR,,,,,,,,,,1.0,118.0,,,,,,,,2.0
SYNTHETIC_CFL_2023_W3_HAM,2023-06-23,2023,3,CFL,MTL,HAM,2.0,,,,,,,,,0.0,345.0,,,,,,,0.0,24.0
SYNTHETIC_CFL_2023_W5_HAM,2023-07-08,2023,5,CFL,OTT,HAM,1.0,,,,,,,,,1.0,233.0,,,,,,,0.0,30.0
SYNTHETIC_CFL_2023_W6_HAM,2023-07-13,2023,6,CFL,HAM,EDM,0.0,,,,,,,,,0.0,184.0,,,,,,,1.0,10.0
SYNTHETIC_CFL_2023_W17_HAM,2023-09-30,2023,17,CFL,CGY,HAM,1.0,,,,,,,,,2.0,225.0,,,,,,,0.0,30.0
SYNTHETIC_CFL_2023_W18_HAM,2023-10-07,2023,18,CFL,HAM,SSK,1.0,,,,,,,,,2.0,271.0,,,,,,,0.0,38.0
SYNTHETIC_CFL_2023_W19_HAM,2023-10-13,2023,19,CFL,BC,HAM,0.0,,,,,,,,,1.0,180.0,,,,,,,0.0,26.0
