game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_20,recv_fd,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_fc,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_p,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,,,,,,,,,13.0,1.0,1.0,,2.0,13.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_10_28_CGY@EDM,2017-10-28,2017,1,CFL,CGY,EDM,,,,,,,,,17.0,3.0,4.0,,12.0,37.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_11_3_WPG@CGY,2017-11-03,2017,1,CFL,WPG,CGY,1.0,1.0,,,,,,,32.0,5.0,8.0,,57.0,72.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_18_CGY@BC,2017-08-18,2017,1,CFL,CGY,BC,,,,,,,,,28.0,1.0,2.0,,14.0,28.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_3_CGY@TOR,2017-08-03,2017,1,CFL,CGY,TOR,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_16_BC@CGY,2017-09-16,2017,1,CFL,BC,CGY,,,,,,,,,,4.0,7.0,1.0,29.0,50.0,,,,,,,,,,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2017_9_24_CGY@SSK,2017-09-24,2017,1,CFL,CGY,SSK,,,,,,,,,24.0,4.0,4.0,,27.0,68.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_29_MTL@CGY,2017-09-29,2017,1,CFL,MTL,CGY,,,,,,,,,18.0,4.0,6.0,,13.0,36.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_11_SSK@CGY,2019-10-11,2019,1,CFL,SSK,CGY,,,,,,,,,35.0,6.0,6.0,,25.0,90.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_19_WPG@CGY,2019-10-19,2019,1,CFL,WPG,CGY,,,,,,,,,,4.0,6.0,3.0,12.0,62.0,,,,,,,,,,,,,3.0,18.0,,3.0,
FOOTBALL_CFL_2019_10_25_CGY@WPG,2019-10-25,2019,1,CFL,CGY,WPG,,,,,,,,,38.0,5.0,10.0,,15.0,98.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_5_CGY@MTL,2019-10-05,2019,1,CFL,CGY,MTL,,,,,,,,,23.0,9.0,12.0,,33.0,98.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,1.0,1.0,,,,,,,,2.0,6.0,1.0,13.0,24.0,,,,,1.0,,1.0,1.0,,,,,1.0,12.0,1.0,2.0,
FOOTBALL_CFL_2019_11_2_CGY@BC,2019-11-02,2019,1,CFL,CGY,BC,,,,,,,,,27.0,6.0,12.0,,12.0,60.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_6_15_OTT@CGY,2019-06-15,2019,1,CFL,OTT,CGY,1.0,1.0,,,,,,,12.0,5.0,8.0,,3.0,34.0,,2.0,1.0,2.0,,,,,,,,1.0,,2.0,,,
FOOTBALL_CFL_2019_6_29_BC@CGY,2019-06-29,2019,1,CFL,BC,CGY,,,,,,,,,22.0,5.0,6.0,,25.0,40.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_13_CGY@HAM,2019-07-13,2019,1,CFL,CGY,HAM,,,,,,,,,27.0,8.0,9.0,,45.0,119.0,,34.0,4.0,92.0,1.0,,1.0,6.0,,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,,,,,,,,,12.0,3.0,6.0,,8.0,26.0,,,,,1.0,3.0,,3.0,,,,1.0,,2.0,,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,,,,,,,,,20.0,7.0,7.0,,26.0,78.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,,,,,,,,,,4.0,4.0,1.0,61.0,102.0,,17.0,1.0,17.0,,,,,,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2019_8_17_MTL@CGY,2019-08-17,2019,1,CFL,MTL,CGY,,,,,,,,,,8.0,9.0,4.0,81.0,173.0,,,,,,,,,,,,,4.0,24.0,,4.0,
FOOTBALL_CFL_2019_8_3_EDM@CGY,2019-08-03,2019,1,CFL,EDM,CGY,,,,,,,,,18.0,6.0,6.0,,32.0,62.0,,,,,1.0,11.0,,11.0,,,,,,,,,
FOOTBALL_CFL_2019_8_8_CGY@WPG,2019-08-08,2019,1,CFL,CGY,WPG,,,,,,,,,42.0,3.0,7.0,,41.0,70.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_14_HAM@CGY,2019-09-14,2019,1,CFL,HAM,CGY,,,,,,,,,29.0,6.0,9.0,,47.0,106.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_2_EDM@CGY,2019-09-02,2019,1,CFL,EDM,CGY,,,,,,,,,,10.0,12.0,1.0,41.0,138.0,,,,,1.0,18.0,,18.0,,,,1.0,1.0,8.0,,1.0,
FOOTBALL_CFL_2019_9_7_CGY@EDM,2019-09-07,2019,1,CFL,CGY,EDM,2.0,2.0,,,,,,,,7.0,15.0,1.0,12.0,88.0,,,,,,,,,,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2021_11_12_CGY@BC,2021-11-12,2021,1,CFL,CGY,BC,,,,,,,,,38.0,7.0,11.0,1.0,15.0,119.0,,,,,1.0,21.0,,21.0,,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,1.0,1.0,,,,,,,7.0,2.0,8.0,,7.0,14.0,,17.0,2.0,31.0,,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_28_CGY@SSK,2021-11-28,2021,1,CFL,CGY,SSK,,,,,,,,,43.0,5.0,7.0,,26.0,105.0,,15.0,4.0,36.0,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_14_HOU@GB,2021-08-14,2021,1,CFL,HOU,GB,,,,,,,,1.0,14.0,1.0,2.0,,,14.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_21_NYJ@GB,2021-08-21,2021,1,CFL,NYJ,GB,1.0,1.0,,,,,,1.0,11.0,2.0,4.0,,6.0,15.0,,28.0,2.0,35.0,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_28_GB@BUF,2021-08-28,2021,1,CFL,GB,BUF,,,,,,,1.0,2.0,29.0,4.0,6.0,,27.0,51.0,1.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W1_CGY,,2022,1,CFL,,,,,,0.0,23.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_CGY,,2022,3,CFL,,,,,,0.0,77.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W5_CGY,,2022,5,CFL,,,,,,0.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
6231,2022-07-15,2022,6,CFL,CGY,WPG,,,,1.0,82.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
6240,2022-07-30,2022,8,CFL,WPG,CGY,,,,0.0,74.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
6243,2022-08-05,2022,9,CFL,CGY,OTT,,,,0.0,50.0,5.0,,,,,,,,,,,,,,,,,0.0,3.0,,,,,,,
6248,2022-08-13,2022,10,CFL,BC,CGY,,,,0.0,27.0,4.0,,,,,,,,,,,,,,,,,0.0,11.0,,,,,,,
6253,2022-08-20,2022,11,CFL,CGY,TOR,,,,0.0,55.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
6254,2022-08-25,2022,12,CFL,CGY,WPG,,,,0.0,68.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
6268,2022-09-17,2022,15,CFL,BC,CGY,,,,0.0,67.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
6271,2022-09-24,2022,16,CFL,CGY,BC,,,,0.0,12.0,3.0,,,,,,,,,,,,,,,,,0.0,19.0,,,,,,,
6275,2022-10-01,2022,17,CFL,TOR,CGY,,,,1.0,43.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
6281,2022-10-14,2022,19,CFL,HAM,CGY,,,,0.0,62.0,7.0,,,,,,,,,,,,,,,,,0.0,9.0,,,,,,,
6287,2022-10-22,2022,20,CFL,CGY,SSK,,,,0.0,28.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
9889283,2023-06-08,2023,1,CFL,BC,CGY,,,,0.0,30.0,6.0,,,,,,,,,,,,,,,,,0.0,7.0,,,,,,,
9889287,2023-06-15,2023,2,CFL,CGY,OTT,,,,0.0,141.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
9889299,2023-07-07,2023,5,CFL,CGY,WPG,,,,0.0,51.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
9889305,2023-07-15,2023,6,CFL,CGY,SSK,,,,0.0,92.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
9889309,2023-07-23,2023,7,CFL,OTT,CGY,,,,0.0,80.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
9889313,2023-07-30,2023,8,CFL,CGY,MTL,,,,0.0,102.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
