game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,9.0,227.0,129.0,5.0,16.0,1689.0,24.0,4.0,42.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,11.0,445.0,250.0,14.0,29.0,3128.0,26.0,2.0,2.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,3.0,94.0,58.0,5.0,4.0,621.0,11.0,2.0,19.0
