game_id,date,season,week,league,away,home,blocks,catches,completions,drops,goals,hockeyAssists,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-HTX-DAL,2023-05-13,2023,3,,HTX,DAL,1.0,22.0,21.0,,3.0,2.0,2.0,24.0,3.0,164.0,146.0
2023-05-28-ATX-DAL,2023-05-28,2023,5,,ATX,DAL,,16.0,12.0,2.0,1.0,1.0,,15.0,3.0,67.0,34.0
2023-06-03-DAL-HTX,2023-06-03,2023,6,,DAL,HTX,1.0,,,,,,,,,,
