game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,2.0,11.0,59.0,6.0,750.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,14.0,30.0,4.0,451.0,3.0,21.0
