game_id,date,season,week,league,away,home,3pt_pass,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
28,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,1.0,,0.0,,0.0,38.0,0.0,3.0
64,2025-05-04,2025,6,UFL,STALLIONS,BRAHMAS,,,1.0,,0.0,179.0,0.0,8.0
65,2025-05-09,2025,7,UFL,BRAHMAS,DEFENDERS,,,0.0,1.0,2.0,230.0,0.0,32.0
69,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,,2.0,3.0,,0.0,90.0,0.0,12.0
