game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,pass_att,pass_cmp,pass_lg,pass_yds,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,sacks,score_conv,score_p,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,,,,,,,,,,,,5.0,7.0,1.0,48.0,126.0,,,,,,,,,1.0,1.0,8.0,,1.0,
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,1.0,1.0,,,,,,,,,16.0,6.0,9.0,,33.0,65.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_1_CGY@HAM,2016-10-01,2016,1,CFL,CGY,HAM,,,,,,,,,,,,5.0,6.0,2.0,42.0,123.0,,,,1.0,25.0,,25.0,,,2.0,12.0,,2.0,
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,,,,,,,,,,,,3.0,5.0,2.0,29.0,94.0,,,,,,,,,,2.0,12.0,,2.0,
FOOTBALL_CFL_2016_10_30_CGY@MTL,2016-10-30,2016,1,CFL,CGY,MTL,,,,,,,,,,,13.0,4.0,7.0,,9.0,36.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,,,,,,,,,,,,4.0,7.0,1.0,57.0,107.0,,,,,,,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2016_11_27_CGY@OTT,2016-11-27,2016,1,CFL,CGY,OTT,,,,,,,,,,,35.0,7.0,7.0,,25.0,89.0,,,,2.0,,1.0,33.0,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2016_8_19_CGY@BC,2016-08-19,2016,1,CFL,CGY,BC,,,,,,,,,,,34.0,4.0,5.0,,33.0,66.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_28_HAM@CGY,2016-08-28,2016,1,CFL,HAM,CGY,,,,,,,,,,,,5.0,6.0,1.0,64.0,108.0,,,,,,,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2016_9_10_CGY@EDM,2016-09-10,2016,1,CFL,CGY,EDM,,,,,,,,,,,,6.0,6.0,2.0,27.0,113.0,,,,,,,,,1.0,2.0,14.0,,2.0,
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,,,,,,,,,,,11.0,4.0,8.0,1.0,7.0,34.0,,,,1.0,9.0,,9.0,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2016_9_24_WPG@CGY,2016-09-24,2016,1,CFL,WPG,CGY,1.0,1.0,,,,,,,,,27.0,5.0,7.0,,33.0,63.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_5_EDM@CGY,2016-09-05,2016,1,CFL,EDM,CGY,,,,,,,,,,,19.0,4.0,8.0,,41.0,57.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,,,,,,,,,,,6.0,2.0,4.0,,1.0,11.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_10_28_CGY@EDM,2017-10-28,2017,1,CFL,CGY,EDM,,,,,,,,,,,38.0,8.0,11.0,,35.0,137.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_11_19_EDM@CGY,2017-11-19,2017,1,CFL,EDM,CGY,,,,,,,,,,,5.0,1.0,2.0,,5.0,5.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_11_26_CGY@TOR,2017-11-26,2017,1,CFL,CGY,TOR,,,,,,,,,,,24.0,11.0,13.0,,45.0,113.0,,,,,,,,,1.0,,2.0,,,
FOOTBALL_CFL_2017_11_3_WPG@CGY,2017-11-03,2017,1,CFL,WPG,CGY,,,,,,,,,,,,,1.0,,,,,,,2.0,4.0,,1.0,,,,,,,
FOOTBALL_CFL_2017_6_23_CGY@OTT,2017-06-23,2017,1,CFL,CGY,OTT,1.0,1.0,,,,,,,,,43.0,4.0,6.0,,13.0,90.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_7_14_CGY@MTL,2017-07-14,2017,1,CFL,CGY,MTL,,,,,,,,,,,,5.0,10.0,1.0,31.0,79.0,,,,,,,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2017_7_22_SSK@CGY,2017-07-22,2017,1,CFL,SSK,CGY,,,,,,,,,,,17.0,1.0,5.0,,4.0,17.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_7_29_HAM@CGY,2017-07-29,2017,1,CFL,HAM,CGY,,,,,,,,,,,17.0,5.0,7.0,,19.0,60.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_7_7_CGY@WPG,2017-07-07,2017,1,CFL,CGY,WPG,,,,,,,,,,,18.0,3.0,6.0,,11.0,39.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_18_CGY@BC,2017-08-18,2017,1,CFL,CGY,BC,,,,,,,,,,,15.0,2.0,4.0,,4.0,17.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_26_TOR@CGY,2017-08-26,2017,1,CFL,TOR,CGY,,,,,,,,,,,,8.0,12.0,2.0,21.0,114.0,,,,,,,,,,2.0,12.0,,2.0,
FOOTBALL_CFL_2017_8_3_CGY@TOR,2017-08-03,2017,1,CFL,CGY,TOR,,,,,,,,,,,,4.0,4.0,1.0,31.0,76.0,,,,,,,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2017_9_4_EDM@CGY,2017-09-04,2017,1,CFL,EDM,CGY,,,,,,,,,,,46.0,3.0,4.0,,21.0,98.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_9_CGY@EDM,2017-09-09,2017,1,CFL,CGY,EDM,,,,,,,,,,,6.0,2.0,3.0,,-1.0,5.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_12_BC@EDM,2019-10-12,2019,1,CFL,BC,EDM,,,,,,,,,,,7.0,1.0,4.0,,,7.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_26_SSK@EDM,2019-10-26,2019,1,CFL,SSK,EDM,1.0,1.0,,,,,,,,,9.0,2.0,5.0,,4.0,17.0,,,,,,,,,,,,,,
