game_id,date,season,week,league,away,home,assists,def_rebounds,fg3a,fg_pct,fga,fgm,fouls,minutes,plus_minus,points,rebounds,steals,turnovers
WNBA_202206010ATL,2022-06-01,2022,1,WNBA,MIN,ATL,2.0,,1.0,0.333,3.0,1.0,,14.5,-10.0,2.0,,2.0,3.0
WNBA_202206050NYL,2022-06-05,2022,1,WNBA,MIN,NYL,,3.0,1.0,,1.0,,2.0,4.016666666666667,-4.0,,3.0,,1.0
WNBA_202206070NYL,2022-06-07,2022,1,WNBA,MIN,NYL,4.0,2.0,2.0,0.25,4.0,1.0,4.0,15.383333333333333,2.0,2.0,2.0,2.0,
WNBA_202508010ATL,2025-08-01,2025,1,WNBA,PHO,ATL,,,,,,,,1.1166666666666667,2.0,,,,
WNBA_202508030ATL,2025-08-03,2025,1,WNBA,WAS,ATL,,,,,,,,1.2833333333333332,-3.0,,,,
WNBA_202508070CHI,2025-08-07,2025,1,WNBA,ATL,CHI,,,,,,,,1.0,3.0,,,,
