game_id,date,season,week,league,away,home,field_goal_yards,missed
SYNTHETIC_XFL_2023_W1_BRAHMAS,2023-02-19,2023,1,XFL,BATTLEHAWKS,BRAHMAS,120.0,1.0
SYNTHETIC_XFL_2023_W2_BRAHMAS,2023-02-26,2023,2,XFL,GUARDIANS,BRAHMAS,40.0,0.0
SYNTHETIC_XFL_2023_W4_BRAHMAS,2023-03-11,2023,4,XFL,SEA DRAGONS,BRAHMAS,95.0,0.0
SYNTHETIC_XFL_2023_W5_BRAHMAS,2023-03-19,2023,5,XFL,BRAHMAS,RENEGADES,45.0,0.0
SYNTHETIC_XFL_2023_W6_BRAHMAS,2023-03-26,2023,6,XFL,RENEGADES,BRAHMAS,120.0,0.0
SYNTHETIC_XFL_2023_W8_BRAHMAS,2023-04-09,2023,8,XFL,BRAHMAS,ROUGHNECKS,117.0,0.0
SYNTHETIC_XFL_2023_W9_BRAHMAS,2023-04-15,2023,9,XFL,BRAHMAS,GUARDIANS,67.0,0.0
SYNTHETIC_XFL_2023_W10_BRAHMAS,2023-04-22,2023,10,XFL,BRAHMAS,DEFENDERS,54.0,1.0
SYNTHETIC_UFL_2024_W3_BRAHMAS,2024-04-14,2024,3,UFL,BRAHMAS,BATTLEHAWKS,67.0,
SYNTHETIC_UFL_2024_W4_BRAHMAS,2024-04-20,2024,4,UFL,BRAHMAS,PANTHERS,76.0,
SYNTHETIC_UFL_2024_W5_BRAHMAS,2024-04-27,2024,5,UFL,RENEGADES,BRAHMAS,74.0,1.0
SYNTHETIC_UFL_2024_W6_BRAHMAS,2024-05-05,2024,6,UFL,DEFENDERS,BRAHMAS,83.0,
SYNTHETIC_UFL_2024_W7_BRAHMAS,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,77.0,
SYNTHETIC_UFL_2024_W8_BRAHMAS,2024-05-19,2024,8,UFL,BRAHMAS,RENEGADES,47.0,2.0
SYNTHETIC_UFL_2024_W9_BRAHMAS,2024-05-25,2024,9,UFL,BRAHMAS,STALLIONS,,1.0
SYNTHETIC_UFL_2024_W10_BRAHMAS,2024-06-01,2024,10,UFL,BATTLEHAWKS,BRAHMAS,,2.0
SYNTHETIC_UFL_2024_W11_BRAHMAS,2024-06-09,2024,11,UFL,BATTLEHAWKS,BRAHMAS,76.0,
SYNTHETIC_UFL_2025_W1_BRAHMAS,2025-03-29,2025,1,UFL,RENEGADES,BRAHMAS,39.0,1.0
SYNTHETIC_UFL_2025_W2_BRAHMAS,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,31.0,
SYNTHETIC_UFL_2025_W3_BRAHMAS,2025-04-13,2025,3,UFL,PANTHERS,BRAHMAS,124.0,1.0
SYNTHETIC_UFL_2025_W5_BRAHMAS,2025-04-27,2025,5,UFL,BRAHMAS,ROUGHNECKS,33.0,
SYNTHETIC_UFL_2025_W6_BRAHMAS,2025-05-04,2025,6,UFL,STALLIONS,BRAHMAS,26.0,1.0
SYNTHETIC_UFL_2025_W7_BRAHMAS,2025-05-09,2025,7,UFL,BRAHMAS,DEFENDERS,76.0,
SYNTHETIC_UFL_2025_W8_BRAHMAS,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,78.0,1.0
SYNTHETIC_UFL_2025_W9_BRAHMAS,2025-05-23,2025,9,UFL,BRAHMAS,BATTLEHAWKS,59.0,
SYNTHETIC_UFL_2025_W10_BRAHMAS,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,65.0,
