game_id,date,season,week,league,away,home,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-MTL-TOR,2023-05-13,2023,3,,MTL,TOR,,8.0,3.0,,,,8.0,4.0,23.0,23.0
2023-06-03-NY-MTL,2023-06-03,2023,6,,NY,MTL,,5.0,4.0,,,,5.0,1.0,70.0,-11.0
2023-06-16-MTL-DC,2023-06-16,2023,8,,MTL,DC,,7.0,6.0,1.0,1.0,,7.0,,76.0,9.0
2023-06-17-MTL-PHI,2023-06-17,2023,8,,MTL,PHI,,,,,,,,1.0,,
2023-06-23-DC-MTL,2023-06-23,2023,9,,DC,MTL,,2.0,1.0,,1.0,1.0,2.0,,-4.0,5.0
2023-07-02-PHI-MTL,2023-07-02,2023,10,,PHI,MTL,,4.0,5.0,,,,6.0,1.0,21.0,45.0
2023-07-21-MTL-BOS,2023-07-21,2023,13,,MTL,BOS,,3.0,2.0,1.0,,,2.0,,54.0,18.0
2023-07-22-MTL-NY,2023-07-22,2023,13,,MTL,NY,0.0,,,,,,,,,
