game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds,rush_att
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,5.0,12.0,4.0,,72.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,10.0,34.0,3.0,551.0,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,6.0,3.0,,29.0,1.0
