game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
cricket-t20i-2019-06-15-1185181,2019-06-15,2019,1,T20I,Guernsey,Germany,3.0,0.0,0.0,8.0,2.0,0.0,24.0,0.0,0.0,33.0,0.0,3.0,1.0
cricket-t20i-2019-06-16-1185185,2019-06-16,2019,1,T20I,Guernsey,Italy,6.0,0.0,1.0,8.0,7.0,0.0,24.0,0.0,0.0,17.0,3.0,1.0,1.0
cricket-t20i-2019-06-18-1185187,2019-06-18,2019,1,T20I,Guernsey,Denmark,,,,,,,24.0,0.0,0.0,21.0,2.0,0.0,1.0
cricket-t20i-2019-06-19-1185191,2019-06-19,2019,1,T20I,Guernsey,Norway,3.0,0.0,1.0,8.0,4.0,0.0,18.0,0.0,0.0,19.0,1.0,0.0,1.0
cricket-t20i-2019-06-20-1189743,2019-06-20,2019,1,T20I,Guernsey,Denmark,7.0,1.0,0.0,8.0,9.0,0.0,24.0,0.0,0.0,22.0,2.0,1.0,1.0
cricket-t20i-2020-08-21-1229824,2020-08-21,2020,1,T20I,Isle of Man,Guernsey,10.0,1.0,0.0,1.0,8.0,0.0,24.0,0.0,0.0,17.0,2.0,1.0,1.0
cricket-t20i-2022-05-20-1310188,2022-05-20,2022,1,T20I,Jersey,Guernsey,5.0,1.0,0.0,2.0,4.0,0.0,6.0,0.0,0.0,12.0,0.0,0.0,1.0
cricket-t20i-2022-07-24-1321283,2022-07-24,2022,1,T20I,Guernsey,Bulgaria,6.0,0.0,0.0,2.0,0.0,0.0,,,,,,,1.0
cricket-t20i-2022-07-25-1321288,2022-07-25,2022,1,T20I,Guernsey,Luxembourg,11.0,1.0,0.0,2.0,8.0,0.0,,,,,,,1.0
cricket-t20i-2022-07-27-1321289,2022-07-27,2022,1,T20I,Guernsey,Austria,28.0,5.0,0.0,1.0,37.0,1.0,,,,,,,1.0
cricket-t20i-2022-07-28-1321296,2022-07-28,2022,1,T20I,Slovenia,Guernsey,9.0,4.0,0.0,1.0,29.0,2.0,,,,,,,1.0
cricket-t20i-2022-07-31-1321302,2022-07-31,2022,1,T20I,Guernsey,France,10.0,3.0,0.0,1.0,17.0,0.0,,,,,,,1.0
