game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,5.0,3.0,18.0,8.0,,,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,,,4.0,21.0,12.0,,,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,1.0,6.0,31.0,8.0,18.0,333.0,7.0,88.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,4.0,2.0,3.0,35.0,10.0,4.0,61.0,3.0,24.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,1.0,3.0,25.0,12.0,2.0,54.0,,
