game_id,date,season,week,league,away,home,def_solo,def_tot,rushing_tds,rushing_yards
FOOTBALL_CFL_2022_6_11_EDM@BC,2022-06-11,2022,1,CFL,EDM,BC,3.0,3.0,,
FOOTBALL_CFL_2022_7_14_EDM@MTL,2022-07-14,2022,1,CFL,EDM,MTL,3.0,3.0,,
FOOTBALL_CFL_2022_7_22_WPG@EDM,2022-07-22,2022,1,CFL,WPG,EDM,3.0,3.0,,
FOOTBALL_CFL_2022_8_13_SSK@EDM,2022-08-13,2022,1,CFL,SSK,EDM,1.0,1.0,,
FOOTBALL_CFL_2022_8_6_EDM@BC,2022-08-06,2022,1,CFL,EDM,BC,4.0,4.0,,
6230,2022-07-14,2022,6,CFL,EDM,MTL,,,0.0,5.0
