game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,sacks,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2019_11_2_EDM@SSK,2019-11-02,2019,1,CFL,EDM,SSK,,,,,29.0,1.0,3.0,,7.0,29.0,,,,,
FOOTBALL_CFL_2019_7_1_TOR@SSK,2019-07-01,2019,1,CFL,TOR,SSK,,,,,13.0,1.0,1.0,,7.0,13.0,,,,,
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,,,,,12.0,4.0,8.0,,11.0,39.0,,,,,
FOOTBALL_CFL_2019_8_24_OTT@SSK,2019-08-24,2019,1,CFL,OTT,SSK,,,,,,,1.0,,,,,,,,
FOOTBALL_CFL_2019_9_1_WPG@SSK,2019-09-01,2019,1,CFL,WPG,SSK,,,,,20.0,1.0,1.0,,,20.0,,,,,
FOOTBALL_CFL_2019_9_7_SSK@WPG,2019-09-07,2019,1,CFL,SSK,WPG,,,,,26.0,3.0,4.0,,19.0,48.0,,,,,
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,,,,,11.0,2.0,3.0,,5.0,17.0,,,,,
FOOTBALL_CFL_2021_11_20_SSK@HAM,2021-11-20,2021,1,CFL,SSK,HAM,,,,,45.0,2.0,3.0,,23.0,54.0,,,,,
FOOTBALL_CFL_2021_11_5_SSK@EDM,2021-11-05,2021,1,CFL,SSK,EDM,,,,,12.0,1.0,1.0,,10.0,12.0,,,,,
FOOTBALL_CFL_2022_10_7_SSK@HAM,2022-10-07,2022,1,CFL,SSK,HAM,,,,,22.0,3.0,4.0,1.0,1.0,39.0,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_6_11_HAM@SSK,2022-06-11,2022,1,CFL,HAM,SSK,,,,,13.0,2.0,2.0,,,16.0,,,,,
FOOTBALL_CFL_2022_6_18_SSK@EDM,2022-06-18,2022,1,CFL,SSK,EDM,,,,,7.0,2.0,2.0,,4.0,9.0,,,,,
FOOTBALL_CFL_2022_6_23_SSK@MTL,2022-06-23,2022,1,CFL,SSK,MTL,,,,,14.0,1.0,2.0,,11.0,14.0,,,,,
FOOTBALL_CFL_2022_7_16_SSK@TOR,2022-07-16,2022,1,CFL,SSK,TOR,,,,,5.0,2.0,3.0,,-4.0,1.0,,,,,
FOOTBALL_CFL_2022_7_29_BC@SSK,2022-07-29,2022,1,CFL,BC,SSK,,,,,9.0,4.0,5.0,,10.0,26.0,,,,,
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,,,,,11.0,2.0,3.0,,5.0,17.0,,,,,
FOOTBALL_CFL_2022_7_8_OTT@SSK,2022-07-08,2022,1,CFL,OTT,SSK,,,,,26.0,2.0,3.0,,27.0,31.0,,,,,
FOOTBALL_CFL_2022_8_13_SSK@EDM,2022-08-13,2022,1,CFL,SSK,EDM,,,,,12.0,2.0,4.0,,5.0,18.0,,,,,
FOOTBALL_CFL_2022_8_19_BC@SSK,2022-08-19,2022,1,CFL,BC,SSK,,,,,57.0,6.0,9.0,1.0,60.0,111.0,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_9_16_EDM@SSK,2022-09-16,2022,1,CFL,EDM,SSK,,,,,16.0,4.0,5.0,,13.0,48.0,,,,,
FOOTBALL_CFL_2022_9_30_SSK@WPG,2022-09-30,2022,1,CFL,SSK,WPG,,,,,16.0,3.0,5.0,,10.0,34.0,,,,,
SYNTHETIC_CFL_2022_W1_SSK,,2022,1,CFL,,,,0.0,16.0,2.0,,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_SSK,,2022,3,CFL,,,,0.0,14.0,1.0,,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_SSK,,2022,4,CFL,,,,0.0,17.0,2.0,,,,,,,,,,,
SYNTHETIC_CFL_2022_W5_SSK,,2022,5,CFL,,,,0.0,31.0,2.0,,,,,,,,,,,
6232,2022-07-16,2022,6,CFL,SSK,TOR,,0.0,1.0,2.0,,,,,,,,,,,
6239,2022-07-29,2022,8,CFL,BC,SSK,,0.0,26.0,4.0,,,,,,,,,,,
6249,2022-08-13,2022,10,CFL,SSK,EDM,,0.0,18.0,2.0,,,,,,,,,,,
6251,2022-08-19,2022,11,CFL,BC,SSK,,1.0,111.0,6.0,,,,,,,,,,,
6266,2022-09-16,2022,15,CFL,EDM,SSK,,0.0,48.0,4.0,,,,,,,,,,,
6272,2022-09-30,2022,17,CFL,SSK,WPG,,0.0,34.0,3.0,,,,,,,,,,,
6276,2022-10-07,2022,18,CFL,SSK,HAM,,1.0,39.0,3.0,,,,,,,,,,,
9889283,2023-06-08,2023,1,CFL,BC,CGY,,0.0,17.0,2.0,,,,,,,,,,,
9889289,2023-06-17,2023,2,CFL,EDM,BC,,0.0,16.0,2.0,,,,,,,,,,,
9889291,2023-06-22,2023,3,CFL,BC,WPG,,1.0,54.0,4.0,,,,,,,,,,,
