game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2018_10_19_HAM@OTT,2018-10-19,2018,1,CFL,HAM,OTT,,,40.0,2.0,3.0,,45.0,45.0,15.0,17.0,,61.0,,,,,
FOOTBALL_CFL_2018_10_27_OTT@HAM,2018-10-27,2018,1,CFL,OTT,HAM,,,20.0,2.0,2.0,,34.0,34.0,9.0,36.0,,76.0,,,,,
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,,21.0,2.0,2.0,,35.0,35.0,17.0,22.0,,62.0,,,,,
FOOTBALL_CFL_2018_11_18_HAM@OTT,2018-11-18,2018,1,CFL,HAM,OTT,,,22.0,3.0,4.0,,27.0,27.0,12.0,17.0,,52.0,,,,,
FOOTBALL_CFL_2018_8_10_HAM@WPG,2018-08-10,2018,1,CFL,HAM,WPG,1.0,1.0,10.0,2.0,2.0,,19.0,19.0,16.0,22.0,2.0,63.0,,,12.0,2.0,2.0
FOOTBALL_CFL_2018_8_23_EDM@HAM,2018-08-23,2018,1,CFL,EDM,HAM,,,15.0,3.0,3.0,,16.0,16.0,19.0,12.0,1.0,104.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,,,,,,,,,15.0,21.0,2.0,74.0,,,12.0,2.0,2.0
FOOTBALL_CFL_2018_9_15_CGY@HAM,2018-09-15,2018,1,CFL,CGY,HAM,1.0,1.0,12.0,2.0,3.0,,19.0,19.0,9.0,11.0,,51.0,,,,,
FOOTBALL_CFL_2018_9_3_TOR@HAM,2018-09-03,2018,1,CFL,TOR,HAM,,,20.0,3.0,4.0,,27.0,28.0,18.0,,2.0,115.0,1.0,,14.0,2.0,2.0
FOOTBALL_CFL_2018_9_8_HAM@TOR,2018-09-08,2018,1,CFL,HAM,TOR,1.0,1.0,,3.0,4.0,1.0,44.0,44.0,13.0,10.0,,60.0,,1.0,6.0,,1.0
