game_id,date,season,week,league,away,home,assisted_tackles,blocks,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,kicking_deuce,kicking_pat,kicking_pat_att,pass_defended,qb_hits,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_3_15_T425362G979253@T425356,2025-03-15,2025,2,NAL,Wheeling Miners,Carolina Cobras,,,1.0,0.0,0.0,0.0,,0.0,2.0,3.0,,,,,,
FOOTBALL_NAL_2025_3_22_T425362G979256@T450150,2025-03-23,2025,3,NAL,Wheeling Miners,Shreveport Rouxgaroux,,,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,,,,,,
FOOTBALL_NAL_2025_4_5_T425362G979262@T425356,2025-04-05,2025,5,NAL,Wheeling Miners,Carolina Cobras,,,0.0,0.0,0.0,0.0,,0.0,6.0,7.0,,,,,,
FOOTBALL_NAL_2025_4_19_T425356G979270@T425362,2025-04-19,2025,7,NAL,Carolina Cobras,Wheeling Miners,,,7.0,0.0,571.0,4.0,,0.0,0.0,0.0,,,,,,
FOOTBALL_NAL_2025_5_3_T425362G979277@T425357,2025-05-04,2025,9,NAL,Wheeling Miners,Colorado Spartans,,,2.0,0.0,0.0,0.0,,0.0,1.0,3.0,,,,,,
FOOTBALL_NAL_2025_5_10_T463723G979279@T425362,2025-05-10,2025,10,NAL,Beaumont Renegades,Wheeling Miners,,,0.0,0.0,0.0,0.0,,0.0,2.0,3.0,,,,,,
FOOTBALL_NAL_2025_5_17_T425361G979283@T425362,2025-05-17,2025,11,NAL,Sioux City Bandits,Wheeling Miners,,,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,,,,,,
FOOTBALL_IFL_2026_3_23_TNAZWRANGLERSG20260323WKQX@TSANDIEGOSTRIKEFORCE,2026-03-23,2026,2,IFL,NAZ Wranglers,San Diego Strike Force,2.0,,,,,,,,,,,,3.0,5.0,1.0,5.0
FOOTBALL_IFL_2026_3_28_TJACKSONVILLESHARKSG202603289OUR@TNAZWRANGLERS,2026-03-28,2026,3,IFL,Jacksonville Sharks,NAZ Wranglers,0.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
FOOTBALL_IFL_2026_4_11_TNAZWRANGLERSG2026041170L8@TNEWMEXICOCHUPACABRAS,2026-04-11,2026,5,IFL,NAZ Wranglers,New Mexico Chupacabras,1.0,,,,,,,,,,,1.0,0.0,1.0,0.5,1.0
FOOTBALL_IFL_2026_4_19_TARIZONARATTLERSG20260419RLTY@TNAZWRANGLERS,2026-04-19,2026,6,IFL,Arizona Rattlers,NAZ Wranglers,4.0,,,,,,,,,,2.0,,1.0,5.0,,
FOOTBALL_NAL_2026_4_18_T566774G1127156@T570667,2026-04-19,2026,7,NAL,Omaha Beef,Colorado Spartans,,,0.0,0.0,0.0,0.0,,1.0,1.0,5.0,,,,,,
FOOTBALL_IFL_2026_5_9_TSANANTONIOGUNSLINGERSG20260509KPE3@TNAZWRANGLERS,2026-05-09,2026,9,IFL,San Antonio Gunslingers,NAZ Wranglers,0.0,,,,,,,,,,,,1.0,1.0,,
FOOTBALL_NAL_2026_5_2_T577047G1127165@T570667,2026-05-03,2026,9,NAL,Pueblo Punishers,Colorado Spartans,,,0.0,0.0,0.0,0.0,,0.0,1.0,4.0,,,,,,
FOOTBALL_NAL_2026_5_10_T577047G1127169@T570667,2026-05-10,2026,10,NAL,Pueblo Punishers,Colorado Spartans,,,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,,,,,,
FOOTBALL_IFL_2026_5_23_TNAZWRANGLERSG20260523TYBS@TSANDIEGOSTRIKEFORCE,2026-05-23,2026,11,IFL,NAZ Wranglers,San Diego Strike Force,0.0,,,,,,,,,,,,1.0,1.0,,
FOOTBALL_IFL_2026_5_30_TNAZWRANGLERSG20260530ZDI0@TARIZONARATTLERS,2026-05-30,2026,12,IFL,NAZ Wranglers,Arizona Rattlers,2.0,,,,,,,,,,,,0.0,2.0,0.5,0.0
FOOTBALL_IFL_2026_6_7_TVEGASKNIGHTHAWKSG202606072NRX@TNAZWRANGLERS,2026-06-07,2026,13,IFL,Vegas Knight Hawks,NAZ Wranglers,1.0,,,,,,1.0,,,,,,1.0,2.0,,
FOOTBALL_IFL_2026_6_14_TSANDIEGOSTRIKEFORCEG20260614SGPF@TNAZWRANGLERS,2026-06-14,2026,14,IFL,San Diego Strike Force,NAZ Wranglers,0.0,,,,,,,,,,,,2.0,2.0,,
