game_id,date,season,week,league,away,home,interceptions,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_USFL_W1_NJ,,,1,USFL,,,0.0,,2.0,202.0,,0.0
SYNTHETIC_USFL_W2_NJ,,,2,USFL,,,,1.0,0.0,145.0,,27.0
SYNTHETIC_USFL_W3_NJ,,,3,USFL,,,,0.0,0.0,,1.0,94.0
SYNTHETIC_USFL_W4_NJ,,,4,USFL,,,,0.0,1.0,,0.0,14.0
SYNTHETIC_USFL_W5_NJ,,,5,USFL,,,,1.0,0.0,213.0,2.0,39.0
SYNTHETIC_USFL_W6_NJ,,,6,USFL,,,,0.0,2.0,225.0,1.0,3.0
SYNTHETIC_USFL_W7_NJ,,,7,USFL,,,,0.0,,,0.0,
SYNTHETIC_USFL_W8_NJ,,,8,USFL,,,,0.0,1.0,220.0,0.0,-4.0
SYNTHETIC_USFL_W9_NJ,,,9,USFL,,,,1.0,1.0,152.0,0.0,4.0
SYNTHETIC_USFL_W10_NJ,,,10,USFL,,,,0.0,3.0,250.0,0.0,30.0
SYNTHETIC_USFL_W11_NJ,,,11,USFL,,,,2.0,0.0,191.0,0.0,-1.0
