game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,sog,to
NLL_2021_SEASON_TOTAL,,,1,,,,,,,3.0,,,2.0,,,
NLL_2022_SEASON_TOTAL,,,1,,,,,,,14.0,,,9.0,,,
NLL_2023_SEASON_TOTAL,,,1,,,,,,,17.0,,,6.0,,,
703328545,2025-10-29,2025,1,NLL,SAN DIEGO,OTTAWA,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
