game_id,date,season,week,league,away,home,catches,completions,pulls,throwAttempts,yardsReceived,yardsThrown
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,,,3.0,,,
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,2.0,2.0,4.0,2.0,-2.0,32.0
