game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds
FOOTBALL_CFL_2022_10_29_SSK@CGY,2022-10-29,2022,1,CFL,SSK,CGY,,,,,,,,,3.0,1.0,3.0
FOOTBALL_CFL_2022_7_16_SSK@TOR,2022-07-16,2022,1,CFL,SSK,TOR,,,,18.0,1.0,1.0,4.0,18.0,,,
6232,2022-07-16,2022,6,CFL,SSK,TOR,0.0,18.0,1.0,,,,,,,,
