game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sog,to
NLL_2021_SEASON_TOTAL,,,1,,,,2.0,,,18.0,,,13.0,,2.0,,
NLL_2022_SEASON_TOTAL,,,1,,,,4.0,,,17.0,,,17.0,,4.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,1.0,,,8.0,3.0,,,,4.0,,
703329312,2025-10-28,2025,1,NLL,TORONTO,OSHAWA,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0
