game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumbles,fumbles_lost,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,recv_td,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_NAL_2026_3_7_T570667G1127138@T577047,2026-03-08,2026,1,NAL,Colorado Spartans,Pueblo Punishers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,15.0,24.0,0.0,1.0,60.0,4.0,,,,,,,0.0,0.0,,1.0
FOOTBALL_NAL_2026_3_14_T577047G1127139@T566774,2026-03-14,2026,2,NAL,Pueblo Punishers,Omaha Beef,,,,,,,,,,,,,,,,,,,,,7.0,9.0,0.0,0.0,14.0,2.0,,,,,,,,,,
FOOTBALL_NAL_2026_3_21_T581933G1127143@T577047,2026-03-22,2026,3,NAL,Dallas Bulls,Pueblo Punishers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,3.0,9.0,0.0,0.0,16.0,5.0,,,,,,,0.0,0.0,,1.0
FOOTBALL_IFL_2026_4_5_TARIZONARATTLERSG20260405GSAF@TFISHERSFREIGHT,2026-04-05,2026,4,IFL,Arizona Rattlers,Fishers Freight,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,0.0,1.0,0.0,-2.0,,,,
FOOTBALL_NAL_2026_3_28_T570666G1127148@T577047,2026-03-29,2026,4,NAL,Sioux City Bandits,Pueblo Punishers,,,,,,,,,,,,,,,,,,,,,9.0,15.0,0.0,1.0,47.0,5.0,,,,,,,,,,
FOOTBALL_IFL_2026_4_11_TIOWABARNSTORMERSG20260411Y06T@TFISHERSFREIGHT,2026-04-11,2026,5,IFL,Iowa Barnstormers,Fishers Freight,,,,,,,,,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,10.0,10.0,,1.0,10.0,1.0,,9.0,24.0,4.0,1.0,36.0,,,,
FOOTBALL_NAL_2026_4_4_T577047G1127185@T600411,2026-04-04,2026,5,NAL,Pueblo Punishers,Salina Liberty,,,,,,,,,,,,,,,,,,,,,11.0,12.0,0.0,0.0,22.0,2.0,,,,,,,,,,
FOOTBALL_NAL_2026_4_11_T573852G1127153@T577047,2026-04-12,2026,6,NAL,Louisiana Rouxgaroux,Pueblo Punishers,,,,,,,,,,,,,,,,,,,,,13.0,20.0,1.0,1.0,65.0,5.0,,,,,,,,,,
FOOTBALL_UFL_2026_5_2_DAL@DC,2026-05-02,2026,6,UFL,DAL,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
FOOTBALL_IFL_2026_4_25_TFISHERSFREIGHTG202604259U64@TIOWABARNSTORMERS,2026-04-25,2026,7,IFL,Fishers Freight,Iowa Barnstormers,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,1.0,0.0,8.0,,,,
FOOTBALL_IFL_2026_5_2_TGREENBAYBLIZZARDG20260502XIPT@TFISHERSFREIGHT,2026-05-02,2026,8,IFL,Green Bay Blizzard,Fishers Freight,1.0,,,,,,,,,,2.0,21.5,24.0,0.0,43.0,,,,,,,,,,,,,,,,,,,,0.0,1.0
FOOTBALL_NAL_2026_5_2_T577047G1127165@T570667,2026-05-03,2026,9,NAL,Pueblo Punishers,Colorado Spartans,,,,,,,,,,,,,,,,,,,,,7.0,10.0,0.0,0.0,13.0,2.0,,,,,,,,,,
FOOTBALL_IFL_2026_5_16_TJACKSONVILLESHARKSG20260516ZV31@TFISHERSFREIGHT,2026-05-16,2026,10,IFL,Jacksonville Sharks,Fishers Freight,,,,,,,,,,,,,,,,,,,,,6.3,10.0,,0.0,19.0,3.0,,,,,,,,,,
FOOTBALL_NAL_2026_5_10_T577047G1127169@T570667,2026-05-10,2026,10,NAL,Pueblo Punishers,Colorado Spartans,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,8.0,2.0,,,,,,,,,,
FOOTBALL_IFL_2026_5_30_TFISHERSFREIGHTG20260530E67H@TJACKSONVILLESHARKS,2026-05-30,2026,12,IFL,Fishers Freight,Jacksonville Sharks,0.0,,,,,,,,,,,,,,,,,,,,11.0,11.0,,0.0,11.0,1.0,,,,,,,,,1.0,1.0
FOOTBALL_IFL_2026_6_6_TTULSAOILERSG20260606EDGN@TFISHERSFREIGHT,2026-06-06,2026,13,IFL,Tulsa Oilers,Fishers Freight,,,,,,,,,,,,,,,,,,,,,17.7,30.0,,1.0,53.0,3.0,,2.0,2.0,1.0,0.0,2.0,,,,
FOOTBALL_IFL_2026_6_14_TFISHERSFREIGHTG20260614HYJQ@TARIZONARATTLERS,2026-06-14,2026,14,IFL,Fishers Freight,Arizona Rattlers,,,,,,,,,,,,,,,,,,,,,13.8,33.0,,2.0,83.0,6.0,,4.0,4.0,1.0,0.0,4.0,,,,
FOOTBALL_IFL_2026_6_27_TFISHERSFREIGHTG20260627RQV7@TGREENBAYBLIZZARD,2026-06-27,2026,16,IFL,Fishers Freight,Green Bay Blizzard,,,,,,,,1.0,1.0,,,,,,,,,,,,12.3,17.0,,1.0,49.0,4.0,,1.5,2.0,2.0,0.0,3.0,,,,
FOOTBALL_IFL_2026_7_11_TFISHERSFREIGHTG202607115P39@TQUADCITYSTEAMWHEELERS,2026-07-11,2026,18,IFL,Fishers Freight,Quad City Steamwheelers,,,,,,,,,,,,,,,,,,,,,13.3,25.0,,0.0,40.0,3.0,,3.0,4.0,3.0,0.0,9.0,,,,
FOOTBALL_IFL_2026_7_26_TORLANDOPIRATESG20260726LXNH@TFISHERSFREIGHT,2026-07-26,2026,20,IFL,Orlando Pirates,Fishers Freight,,,,,,,,,,,,,,,,,,,,,17.5,35.0,,2.0,70.0,4.0,,,,,,,,,,
