game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,tackles,xp_attempts,xp_made
FOOTBALL_IFL_2026_5_17_TIOWABARNSTORMERSG202605177DL7@TNAZWRANGLERS,2026-05-17,2026,,IFL,Iowa Barnstormers,NAZ Wranglers,,,,,,,,,,,3.0,38.0,0.0,0.0,228.0,6.0,,,,,,,,,,,,,,,,3.0,3.0
FOOTBALL_IFL_2026_5_2_TQUADCITYSTEAMWHEELERSG20260502INST@TIOWABARNSTORMERS,2026-05-02,2026,,IFL,Quad City Steamwheelers,Iowa Barnstormers,,,,,,2.0,41.0,1.0,,,5.0,46.9,0.0,1.0,328.0,7.0,,,,,,,,,,,,,,,,5.0,2.0
FOOTBALL_NAL_2026_3_14_T570667G1127141@T581933,2026-03-15,2026,2,NAL,Colorado Spartans,Dallas Bulls,,,,,,,,,,,,,,,,,3.0,3.0,0.0,0.0,6.0,2.0,5.0,10.0,8.0,0.0,0.0,40.0,,,,,
FOOTBALL_NAL_2026_3_21_T581933G1127143@T577047,2026-03-22,2026,3,NAL,Dallas Bulls,Pueblo Punishers,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,9.0,0.0,0.0,1.0,28.0,3.0,2.0,12.0,12.0,0.0,0.0,28.0,0.0,0.0,1.0,,
FOOTBALL_NAL_2026_4_4_T566773G1127151@T581933,2026-04-05,2026,5,NAL,Amarillo Warbirds,Dallas Bulls,,,,,,,,,,,,,,,,,13.0,22.0,0.0,0.0,26.0,2.0,6.0,19.0,10.0,0.0,3.0,58.0,,,,,
FOOTBALL_IFL_2026_4_18_TIOWABARNSTORMERSG20260418BIFV@TGREENBAYBLIZZARD,2026-04-18,2026,6,IFL,Iowa Barnstormers,Green Bay Blizzard,,,,,,2.0,0.0,0.0,,,0.0,43.8,0.0,0.0,175.0,4.0,,,,,,,,,,,,,,,,1.0,0.0
FOOTBALL_IFL_2026_4_25_TFISHERSFREIGHTG202604259U64@TIOWABARNSTORMERS,2026-04-25,2026,7,IFL,Fishers Freight,Iowa Barnstormers,,,,,,,,,,,0.0,50.0,0.0,2.0,300.0,6.0,,,,,,,,,,,,,,,,4.0,0.0
FOOTBALL_NAL_2026_4_18_T581933G1127158@T573852,2026-04-19,2026,7,NAL,Dallas Bulls,Louisiana Rouxgaroux,,,,,,,,,,,,,,,,,,,,,,,5.0,13.0,15.0,0.0,1.0,68.0,,,,,
FOOTBALL_NAL_2026_4_25_T581933G1127161@T566774,2026-04-25,2026,8,NAL,Dallas Bulls,Omaha Beef,,,,,,,,,,,,,,,,,9.0,23.0,0.0,1.0,43.0,5.0,1.0,11.0,9.0,0.0,1.0,12.0,,,,,
FOOTBALL_NAL_2026_5_2_T600411G1127164@T573852,2026-05-03,2026,9,NAL,Salina Liberty,Louisiana Rouxgaroux,,,,,,,,,,,,,,,,,7.0,7.0,0.0,0.0,7.0,1.0,1.0,6.0,7.0,0.0,0.0,8.0,,,,,
FOOTBALL_NAL_2026_5_9_T573852G1127170@T566774,2026-05-09,2026,10,NAL,Louisiana Rouxgaroux,Omaha Beef,,,,,,,,,,,,,,,,,8.0,8.0,0.0,0.0,8.0,1.0,3.0,17.0,6.0,0.0,0.0,18.0,,,,,
