game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,recv_td,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_UFL_2025_6_8_MICH@BHM,2025-06-08,2025,1,UFL,MICH,BHM,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
FOOTBALL_UFL_2025_6_15_DC@MICH,2025-06-15,2025,2,UFL,DC,MICH,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
FOOTBALL_UFL_2025_4_26_MICH@STL,2025-04-26,2025,5,UFL,MICH,STL,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
FOOTBALL_UFL_2025_5_4_DC@MICH,2025-05-04,2025,6,UFL,DC,MICH,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
FOOTBALL_UFL_2025_5_10_MICH@ARL,2025-05-10,2025,7,UFL,MICH,ARL,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
FOOTBALL_UFL_2025_5_17_MICH@HOU,2025-05-17,2025,8,UFL,MICH,HOU,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
FOOTBALL_NAL_2025_5_3_T450150G979276@T463723,2025-05-03,2025,9,NAL,Shreveport Rouxgaroux,Beaumont Renegades,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,2.0,,
FOOTBALL_NAL_2025_5_10_T450150G979282@T434514,2025-05-10,2025,10,NAL,Shreveport Rouxgaroux,Columbus Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_3_29_TVEGASKNIGHTHAWKSG20260329KHXS@TTUCSONSUGARSKULLS,2026-03-29,2026,3,IFL,Vegas Knight Hawks,Tucson Sugar Skulls,,,,,,,,,,,,,,,,,,,14.8,24.0,1.0,59.0,4.0,,,,,,,,,,,,
FOOTBALL_IFL_2026_4_11_TSANDIEGOSTRIKEFORCEG202604116LJB@TTUCSONSUGARSKULLS,2026-04-11,2026,5,IFL,San Diego Strike Force,Tucson Sugar Skulls,,,,,,,,0.0,,,,,,1.0,1.0,11.0,0.0,11.0,11.0,11.0,0.0,11.0,1.0,,,,,,,,,,,,
FOOTBALL_IFL_2026_5_2_TSANANTONIOGUNSLINGERSG202605025PR1@TTUCSONSUGARSKULLS,2026-05-02,2026,8,IFL,San Antonio Gunslingers,Tucson Sugar Skulls,,,,,,,,,,,,,,,,,,,9.5,18.0,1.0,57.0,6.0,,0.0,0.0,1.0,0.0,0.0,,,,,,
FOOTBALL_IFL_2026_5_10_TTUCSONSUGARSKULLSG20260510QDQW@TARIZONARATTLERS,2026-05-10,2026,9,IFL,Tucson Sugar Skulls,Arizona Rattlers,0.0,,,,,,,,1.0,7.0,7.0,0.0,7.0,,,,,,7.3,9.0,1.0,22.0,3.0,,1.0,2.0,2.0,0.0,2.0,,,1.0,1.0,1.0,0.0
