game_id,date,season,week,league,away,home,assists,blocks,callahans,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-MIN-IND,2023-05-06,2023,2,,MIN,IND,,3.0,,4.0,2.0,1.0,,,2.0,,80.0,-7.0
2023-05-20-PIT-MIN,2023-05-20,2023,4,,PIT,MIN,,1.0,1.0,6.0,5.0,2.0,1.0,1.0,5.0,,99.0,80.0
2023-05-28-MIN-CHI,2023-05-28,2023,5,,MIN,CHI,,,,8.0,4.0,2.0,,,6.0,1.0,162.0,4.0
2023-06-03-CHI-MIN,2023-06-03,2023,6,,CHI,MIN,,3.0,,7.0,6.0,1.0,,,6.0,,90.0,46.0
2023-06-10-MAD-MIN,2023-06-10,2023,7,,MAD,MIN,1.0,1.0,,1.0,1.0,1.0,,,1.0,,10.0,3.0
2023-06-17-MIN-MAD,2023-06-17,2023,8,,MIN,MAD,,1.0,,10.0,4.0,6.0,1.0,,4.0,,212.0,29.0
2023-06-24-MIN-COL,2023-06-24,2023,9,,MIN,COL,1.0,,,10.0,8.0,2.0,1.0,,8.0,,262.0,-1.0
2023-07-07-MIN-MAD,2023-07-07,2023,11,,MIN,MAD,,1.0,,7.0,4.0,4.0,,,4.0,,102.0,31.0
2023-07-09-IND-MIN,2023-07-09,2023,11,,IND,MIN,1.0,,,,,,,,,,,
2023-07-15-CHI-MIN,2023-07-15,2023,12,,CHI,MIN,1.0,1.0,,10.0,4.0,5.0,,,5.0,,202.0,14.0
2023-07-23-DET-MIN,2023-07-23,2023,13,,DET,MIN,2.0,3.0,,7.0,9.0,,,,9.0,,69.0,38.0
