game_id,date,season,week,league,away,home,catches,completions,goals,hockeyAssists,hucksCompleted,throwAttempts,yardsReceived,yardsThrown
2023-05-28-ATX-DAL,2023-05-28,2023,5,AUDL,AUSTIN SOL,DALLAS LEGION,2.0,2.0,,,,2.0,9.0,41.0
2023-07-22-DAL-HTX,2023-07-22,2023,13,AUDL,DALLAS LEGION,HOUSTON HAVOC,3.0,4.0,0.0,1.0,0.0,4.0,-12.0,16.0
