game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_2022_W5_NO,,2022,5,USFL,,,,,,0.0,3.0,1.0
SYNTHETIC_USFL_2022_W7_NO,,2022,7,USFL,,,,,,0.0,10.0,1.0
SYNTHETIC_USFL_2022_W10_NO,,2022,10,USFL,,,0.0,0.0,4.0,,,
