game_id,date,season,week,league,away,home,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,3.0,22.0,4.0,11.0,6.0,18.0,1.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,,32.0,1.0,12.0,-2.0,19.0,3.0
