game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_10_EDM@MTL,2016-10-10,2016,1,CFL,EDM,MTL,,,20.0,4.0,6.0,,3.0,48.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,,,11.0,3.0,5.0,,10.0,28.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_22_MTL@SSK,2016-10-22,2016,1,CFL,MTL,SSK,1.0,1.0,27.0,2.0,6.0,,32.0,34.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,,,,3.0,6.0,1.0,7.0,38.0,,,,1.0,13.0,,13.0,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_10_30_CGY@MTL,2016-10-30,2016,1,CFL,CGY,MTL,,,10.0,2.0,5.0,,12.0,16.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_11_5_MTL@HAM,2016-11-05,2016,1,CFL,MTL,HAM,,,,3.0,9.0,1.0,14.0,58.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_7_15_HAM@MTL,2016-07-15,2016,1,CFL,HAM,MTL,,,24.0,6.0,8.0,,15.0,63.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_25_MTL@TOR,2016-07-25,2016,1,CFL,MTL,TOR,1.0,1.0,12.0,4.0,5.0,,15.0,36.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,,,,3.0,3.0,1.0,1.0,12.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2016_8_11_MTL@EDM,2016-08-11,2016,1,CFL,MTL,EDM,,,42.0,5.0,8.0,,14.0,98.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_19_MTL@OTT,2016-08-19,2016,1,CFL,MTL,OTT,,,27.0,3.0,4.0,,34.0,64.0,,,,1.0,,1.0,12.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_8_26_WPG@MTL,2016-08-26,2016,1,CFL,WPG,MTL,,,20.0,8.0,9.0,,24.0,80.0,,,,1.0,,,,1.0,,2.0,,
FOOTBALL_CFL_2016_9_16_MTL@HAM,2016-09-16,2016,1,CFL,MTL,HAM,,,14.0,7.0,9.0,,22.0,63.0,,,,,,,,,,,,
