game_id,date,season,week,league,away,home,assists,games_played,goals,points,pp_assists,pp_goals
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,,2.0,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,12.0,11.0,9.0,21.0,4.0,1.0
