game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,sacks,tackles
FOOTBALL_CFL_2019_6_20_SSK@OTT,2019-06-20,2019,1,CFL,SSK,OTT,,,,,,,4.0,1.0,1.0,,4.0,,,,,
FOOTBALL_CFL_2019_9_28_SSK@TOR,2019-09-28,2019,1,CFL,SSK,TOR,,,,,,,8.0,1.0,1.0,2.0,8.0,,,,,
FOOTBALL_CFL_2021_10_30_SSK@MTL,2021-10-30,2021,1,CFL,SSK,MTL,,,,,,,,,,,,7.0,1.0,7.0,,
FOOTBALL_CFL_2021_12_5_SSK@WPG,2021-12-05,2021,1,CFL,SSK,WPG,1.0,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_7_SSK@HAM,2022-10-07,2022,1,CFL,SSK,HAM,,,,,,,14.0,2.0,2.0,20.0,25.0,9.0,1.0,9.0,,
FOOTBALL_CFL_2022_6_11_HAM@SSK,2022-06-11,2022,1,CFL,HAM,SSK,,,,,,,7.0,1.0,1.0,6.0,7.0,,,,,
FOOTBALL_CFL_2022_8_13_SSK@EDM,2022-08-13,2022,1,CFL,SSK,EDM,,,,,,,6.0,1.0,1.0,6.0,6.0,,,,,
SYNTHETIC_CFL_2022_W1_SSK,,2022,1,CFL,,,,,,0.0,7.0,1.0,,,,,,,,,,
6249,2022-08-13,2022,10,CFL,SSK,EDM,,,,0.0,6.0,1.0,,,,,,,,,,
6276,2022-10-07,2022,18,CFL,SSK,HAM,,,,0.0,25.0,2.0,,,,,,,,,,
9889298,2023-07-06,2023,5,CFL,EDM,SSK,,,,0.0,0.0,0.0,,,,,,,,,,
9889308,2023-07-22,2023,7,CFL,SSK,BC,,,,0.0,17.0,2.0,,,,,,,,,,
9889311,2023-07-29,2023,8,CFL,SSK,TOR,,,,0.0,7.0,1.0,,,,,,,,,,
9889339,2023-09-15,2023,15,CFL,EDM,SSK,,,0.0,,,,,,,,,,,,0.0,0.0
10798042,2024-07-20,2024,7,CFL,TOR,HAM,,,,0.0,5.0,1.0,,,,,,,,,,
SYNTHETIC_CFL_2024_W18_TOR,,2024,18,CFL,,,,,,0.0,1.0,1.0,,,,,,,,,,
11824073,2025-07-25,2025,8,CFL,EDM,SSK,,,,0.0,6.0,1.0,,,,,,,,,,
