game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
cricket-t20i-2022-11-17-1343741,2022-11-17,2022,1,T20I,Lesotho,Mali,22.0,3.0,0.0,5.0,21.0,0.0,18.0,0.0,0.0,7.0,2.0,3.0,,1.0
cricket-t20i-2022-11-18-1343745,2022-11-18,2022,1,T20I,Lesotho,Botswana,5.0,1.0,0.0,5.0,4.0,0.0,12.0,0.0,0.0,24.0,0.0,0.0,,1.0
cricket-t20i-2022-11-21-1343753,2022-11-21,2022,1,T20I,Kenya,Lesotho,30.0,3.0,0.0,2.0,27.0,1.0,24.0,0.0,1.0,62.0,1.0,0.0,,1.0
cricket-t20i-2022-11-22-1343757,2022-11-22,2022,1,T20I,St Helena,Lesotho,36.0,1.0,0.0,3.0,31.0,1.0,18.0,0.0,0.0,20.0,2.0,0.0,,1.0
cricket-t20i-2022-11-25-1343767,2022-11-25,2022,1,T20I,Rwanda,Lesotho,,,,,,,18.0,0.0,0.0,40.0,3.0,2.0,2.0,1.0
cricket-t20i-2024-09-21-1450751,2024-09-21,2024,1,T20I,Malawi,Lesotho,15.0,0.0,0.0,6.0,11.0,1.0,18.0,0.0,0.0,25.0,1.0,0.0,,1.0
cricket-t20i-2024-09-24-1450757,2024-09-24,2024,1,T20I,Ghana,Lesotho,2.0,0.0,0.0,7.0,1.0,0.0,24.0,0.0,0.0,22.0,1.0,0.0,,1.0
cricket-t20i-2024-09-25-1450761,2024-09-25,2024,1,T20I,Lesotho,Mali,22.0,0.0,0.0,4.0,17.0,1.0,24.0,1.0,0.0,18.0,6.0,0.0,1.0,1.0
cricket-t20i-2024-09-26-1450764,2024-09-26,2024,1,T20I,Lesotho,Cameroon,2.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,10.0,1.0,0.0,,1.0
cricket-t20i-2026-03-09-1527277,2026-03-09,2026,1,T20I,Lesotho,Botswana,15.0,0.0,0.0,4.0,1.0,0.0,12.0,0.0,0.0,11.0,2.0,0.0,,1.0
cricket-t20i-2026-03-10-1527278,2026-03-10,2026,1,T20I,Lesotho,Botswana,25.0,3.0,0.0,5.0,18.0,0.0,12.0,0.0,0.0,16.0,1.0,0.0,,1.0
cricket-t20i-2026-03-12-1527279,2026-03-12,2026,1,T20I,Botswana,Lesotho,25.0,2.0,0.0,5.0,19.0,0.0,24.0,0.0,0.0,20.0,1.0,0.0,,1.0
cricket-t20i-2026-03-13-1527280,2026-03-13,2026,1,T20I,Botswana,Lesotho,2.0,0.0,0.0,5.0,1.0,0.0,24.0,0.0,0.0,43.0,1.0,0.0,,1.0
