game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,4.0,12.0,3.0,49.0,2.0,1.0,26.0,42.0,,226.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,5.0,1.0,20.0,1.0,,13.0,18.0,,83.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,12.0,2.0,38.0,4.0,1.0,43.0,31.0,1.0,163.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,10.0,252.0,3.0,1.0,43.0,24.0,,96.0
