game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,4.0,8.0,137.0,2.0,29.0,18.0,,125.0,2.0,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,5.0,2.0,42.0,,,23.0,1.0,76.0,18.0,79.0
