game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_goals
NLL_2021_SEASON_TOTAL,,,1,,,,12.0,17.0,6.0,4.0,18.0,
NLL_2022_SEASON_TOTAL,,,1,,,,14.0,18.0,2.0,2.0,16.0,1.0
NLL_2023_SEASON_TOTAL,,,1,,,,4.0,17.0,,6.0,4.0,
