game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,sog,to
NLL_2022_SEASON_TOTAL,,,1,,,,14.0,,,18.0,3.0,,2.0,,17.0,,,
NLL_2023_SEASON_TOTAL,,,1,,,,9.0,,,18.0,4.0,,4.0,,13.0,1.0,,
703347730,2025-12-06,2025,1,NLL,CALGARY,SASKATCHEWAN,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0
