game_id,date,season,week,league,away,home,def_ast,def_qbh,def_sack,def_solo,def_tot,def_ydsl,misc_td,score_fr,score_pts,score_tot
FOOTBALL_CFL_2021_10_11_OTT@MTL,2021-10-11,2021,1,CFL,OTT,MTL,,,2.0,2.0,2.0,19.0,,,,
FOOTBALL_CFL_2021_10_16_MTL@OTT,2021-10-16,2021,1,CFL,MTL,OTT,,,,2.0,2.0,,,,,
FOOTBALL_CFL_2021_10_22_TOR@MTL,2021-10-22,2021,1,CFL,TOR,MTL,,,,2.0,2.0,,,,,
FOOTBALL_CFL_2021_10_2_MTL@HAM,2021-10-02,2021,1,CFL,MTL,HAM,,,1.0,2.0,2.0,8.0,,,,
FOOTBALL_CFL_2021_10_30_SSK@MTL,2021-10-30,2021,1,CFL,SSK,MTL,,,,1.0,1.0,,,,,
FOOTBALL_CFL_2021_11_13_WPG@MTL,2021-11-13,2021,1,CFL,WPG,MTL,,,,1.0,1.0,,,,,
FOOTBALL_CFL_2021_11_19_OTT@MTL,2021-11-19,2021,1,CFL,OTT,MTL,,,1.0,5.0,5.0,5.0,,,,
FOOTBALL_CFL_2021_11_28_MTL@HAM,2021-11-28,2021,1,CFL,MTL,HAM,,,,1.0,1.0,,,,,
FOOTBALL_CFL_2021_11_6_MTL@WPG,2021-11-06,2021,1,CFL,MTL,WPG,,,,2.0,2.0,,1.0,1.0,6.0,1.0
FOOTBALL_CFL_2022_10_10_OTT@MTL,2022-10-10,2022,1,CFL,OTT,MTL,,,,2.0,2.0,,,,,
FOOTBALL_CFL_2022_10_14_MTL@OTT,2022-10-14,2022,1,CFL,MTL,OTT,,,1.0,3.0,3.0,1.0,,,,
FOOTBALL_CFL_2022_10_1_MTL@EDM,2022-10-01,2022,1,CFL,MTL,EDM,,,,3.0,3.0,,,,,
FOOTBALL_CFL_2022_10_22_TOR@MTL,2022-10-22,2022,1,CFL,TOR,MTL,,,,1.0,1.0,,,,,
FOOTBALL_CFL_2022_8_13_LA@LAC,2022-08-13,2022,1,CFL,LA,LAC,2.0,2.0,,1.0,3.0,,,,,
FOOTBALL_CFL_2022_8_20_DAL@LAC,2022-08-20,2022,1,CFL,DAL,LAC,3.0,,,2.0,5.0,,,,,
FOOTBALL_CFL_2022_8_26_LAC@NO,2022-08-26,2022,1,CFL,LAC,NO,,,,1.0,1.0,,,,,
FOOTBALL_CFL_2022_9_23_HAM@MTL,2022-09-23,2022,1,CFL,HAM,MTL,,,1.0,1.0,1.0,2.0,,,,
