game_id,date,season,week,league,away,home,interceptions_made,misc_td,sacks,score_fr,score_pts,score_tot,tackles
FOOTBALL_CFL_2017_10_21_EDM@BC,2017-10-21,2017,1,CFL,EDM,BC,,1.0,,1.0,6.0,1.0,
SYNTHETIC_CFL_2024_W1_WPG,2024-05-20,2024,1,CFL,WPG,SSK,0.0,,0.0,,,,0.0
