game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
1,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,,,1.0,,0.0,26.0,0.0,52.0
7,2024-04-07,2024,2,UFL,PANTHERS,STALLIONS,,,0.0,,0.0,88.0,0.0,66.0
10,2024-04-13,2024,3,UFL,STALLIONS,SHOWBOATS,,,0.0,1.0,2.0,334.0,1.0,44.0
14,2024-04-20,2024,4,UFL,STALLIONS,DEFENDERS,,,,,,,0.0,3.0
18,2024-04-27,2024,5,UFL,ROUGHNECKS,STALLIONS,,1.0,0.0,,1.0,155.0,0.0,138.0
21,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,3.0,0.0,,4.0,368.0,0.0,25.0
26,2024-05-11,2024,7,UFL,STALLIONS,BATTLEHAWKS,1.0,,0.0,,3.0,230.0,0.0,60.0
30,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,1.0,,1.0,,3.0,173.0,2.0,44.0
34,2024-05-25,2024,9,UFL,BRAHMAS,STALLIONS,,,1.0,,1.0,211.0,0.0,56.0
37,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,2.0,,0.0,,1.0,163.0,0.0,41.0
41,2024-06-08,2024,11,UFL,STALLIONS,PANTHERS,,,1.0,,1.0,164.0,0.0,8.0
43,2024-06-16,2024,12,UFL,BRAHMAS,STALLIONS,,2.0,0.0,,1.0,98.0,2.0,52.0
