game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_W1_NO,,,1,USFL,,,,,,0.0,,
SYNTHETIC_USFL_W2_NO,,,2,USFL,,,,,,0.0,11.0,1.0
SYNTHETIC_USFL_W3_NO,,,3,USFL,,,,,,0.0,64.0,6.0
SYNTHETIC_USFL_W4_NO,,,4,USFL,,,,,,0.0,82.0,5.0
SYNTHETIC_USFL_W5_NO,,,5,USFL,,,,,,0.0,15.0,1.0
SYNTHETIC_USFL_W6_NO,,,6,USFL,,,,,,0.0,0.0,0.0
SYNTHETIC_USFL_W7_NO,,,7,USFL,,,,,,1.0,40.0,4.0
SYNTHETIC_USFL_W8_NO,,,8,USFL,,,,,,0.0,60.0,6.0
SYNTHETIC_USFL_W9_NO,,,9,USFL,,,,1.0,,1.0,34.0,3.0
SYNTHETIC_USFL_W10_NO,,,10,USFL,,,,,0.0,0.0,4.0,2.0
SYNTHETIC_USFL_W11_NO,,,11,USFL,,,,,0.0,0.0,154.0,12.0
FOOTBALL_XFL_2023_2_18_VGS@ARL,2023-02-18,2023,1,XFL,VGS,ARL,,,,,76.0,9.0
FOOTBALL_XFL_2023_2_26_ARL@HOU,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,,,,,38.0,4.0
SYNTHETIC_XFL_2023_W2_RENEGADES,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,0.0,0.0,,,,
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,RENEGADES,GUARDIANS,,,,,33.0,5.0
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,,,,,40.0,6.0
SYNTHETIC_XFL_2023_W4_RENEGADES,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,0.0,1.0,,,,
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,,,32.0,4.0
FOOTBALL_XFL_2023_3_26_SA@ARL,2023-03-26,2023,6,XFL,SA,ARL,,,,,5.0,2.0
FOOTBALL_XFL_2023_3_31_SEA@ARL,2023-03-31,2023,7,XFL,SEA,ARL,,,,,64.0,4.0
