game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,12.0,,,,,12.0,2.0,58.0,18.0,1.0,84.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,11.0,7.0,56.0,5.0,112.0,4.0,,24.0,1.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,10.0,3.0,117.0,1.0,4.0,3.0,,21.0,2.0,,7.0
